Codes;Eng;Ru;Uzb
726548004;Dual energy X-ray absorptiometry of bone of lateral spine;Двухэнергетическая рентгеновская абсорбциометрия кости боковой поверхности позвоночника;Umurtqa pog‘onasining yon qismi suyagining ikki energiyali rentgen absorpsiometriyasi
1345129006;Dual energy X-ray absorptiometry of bone of lumbar vertebra;Двухэнергетическая рентгеновская абсорбциометрия поясничных позвонков;Bel umurtqalari suyagining ikki energiyali rentgen absorpsiometriyasi
708690003;Dual energy X-ray absorptiometry of bone of spine;Двухэнергетическая рентгеновская абсорбциометрия костей позвоночника;Umurtqa pog‘onasi suyaklarining ikki energiyali rentgen absorpsiometriyasi
1345102001;Dual energy X-ray absorptiometry of bone of wrist region;Двухэнергетическая рентгеновская абсорбциометрия костей области запястья;Bilak sohasi suyaklarining ikki energiyali rentgen absorpsiometriyasi
429373009;Dual energy X-ray absorptiometry of calcaneum;Двухэнергетическая рентгеновская абсорбциометрия пяточной кости;Tovon suyagining ikki energiyali rentgen absorpsiometriyasi
428313006;Dual energy X-ray absorptiometry of mandible;Двухэнергетическая рентгеновская абсорбциометрия нижней челюсти;Pastki jag‘ suyagining ikki energiyali rentgen absorpsiometriyasi
439477003;Dual energy X-ray absorptiometry of neck of femur;Двухэнергетическая рентгеновская абсорбциометрия шейки бедренной кости;Son suyagi bo‘ynining ikki energiyali rentgen absorpsiometriyasi
440496005;Dual energy X-ray absorptiometry of whole body;Двухэнергетическая рентгеновская абсорбциометрия всего тела;Butun tananing ikki energiyali rentgen absorpsiometriyasi
721039003;Dual energy computed tomography;Двухэнергетическая компьютерная томография;Ikki energiyali kompyuter tomografiyasi
721042009;Dual energy computed tomography of abdomen and pelvis;Двухэнергетическая компьютерная томография брюшной полости и таза;Qorin va chanoq sohasining ikki energiyali kompyuter tomografiyasi
721043004;Dual energy computed tomography of neck, thorax, abdomen and pelvis;Двухэнергетическая компьютерная томография шеи, грудной клетки, брюшной полости и таза;Bo‘yin, ko‘krak qafasi, qorin va chanoq sohalarining ikki energiyali kompyuter tomografiyasi
721040001;Dual energy computed tomography of thorax;Двухэнергетическая компьютерная томография грудной клетки;Ko‘krak qafasining ikki energiyali kompyuter tomografiyasi
721041002;Dual energy computed tomography of thorax, abdomen and pelvis;Двухэнергетическая компьютерная томография грудной клетки, брюшной полости и таза;Ko‘krak qafasi, qorin va chanoq sohalarining ikki energiyali kompyuter tomografiyasi
765338005;Dual isotope single photon emission computed tomography of parathyroid using technetium-99m and thallium-201;Двухизотопная однофотонная эмиссионная компьютерная томография паращитовидных желез с использованием технеция-99m и таллия-201;Texnetsiy-99m va talliy-201 yordamida qalqonsimon bez oldi bezining ikki izotopli bir fotonli emissiyali kompyuter tomografiyasi
765354008;Dual isotope single photon emission computed tomography with computed tomography of parathyroid using technetium-99m and thallium-201;Двухизотопная однофотонная эмиссионная компьютерная томография с компьютерной томографией паращитовидных желез с использованием технеция-99m и таллия-201;Texnetsiy-99m va talliy-201 yordamida qalqonsimon bez oldi bezining kompyuter tomografiyasi bilan birga ikki izotopli bir fotonli emissiyali kompyuter tomografiyasi
243142003;Dual pressure spontaneous ventilation support;Поддержка спонтанной вентиляции с двойным давлением;Ikki bosimli spontan ventilyatsiyani qo‘llab-quvvatlash
424172009;Dual pressure spontaneous ventilation support weaning protocol;Протокол отлучения от поддержки спонтанной вентиляции с двойным давлением;Ikki bosimli spontan ventilyatsiyani qo‘llab-quvvatlashdan ajratish protokoli
182976004;Dual therapy Helicobacter pylori;Двойная терапия Helicobacter pylori;Helicobacter pylori uchun ikki komponentli terapiya
3971006;Duchenne muscular dystrophy carrier detection;Выявление носительства мышечной дистрофии Дюшенна;Dyushenn mushak distrofiyasi tashuvchisini aniqlash
31870005;Duchenne muscular dystrophy carrier detection, amniotic fluid;Выявление носительства мышечной дистрофии Дюшенна в амниотической жидкости;Dyushenn mushak distrofiyasi tashuvchisini aniqlash, amniotik suyuqlikda
20868001;Duchenne muscular dystrophy carrier detection, blood;Выявление носительства мышечной дистрофии Дюшенна в крови;Dyushenn mushak distrofiyasi tashuvchisini aniqlash, qonda
117967006;Duck enteritis virus antigen assay;Определение антигена вируса энтерита уток;O‘rdak enteriti virusi antigenini aniqlash
392416002;Duck feathers specific IgE antibody measurement;Измерение специфических IgE-антител к перьям утки;O‘rdak patlariga xos IgE antitanachalarini o‘lchash
275219007;Duckett hypospadias repair;Операция Дакетта при гипоспадии;Duckett usuli bilan gipospadiyani tuzatish operatsiyasi
76062007;Duhamel operation, abdominoperineal pull-through;Операция Дюамеля (абдоминоперинеальное протягивание);Dyuhamel operatsiyasi, abdominal-perineal tortib chiqarish
235366001;Duhamel procedure;Процедура Дюамеля;Dyuhamel usuli
235367005;Duhamel procedure with Lester Martin modification;Процедура Дюамеля с модификацией Лестера Мартина;Dyuhamel usuli Lester Martin modifikatsiyasi bilan
275017002;Duhamel removal of colorectal septum;Удаление колоректальной перегородки по Дюамелю;Dyuhamel usuli bilan kolorektal septumni olib tashlash
50153003;Duhrssen's operation on uterus;Операция Дюрссена на матке;Bachadonda Dyurssen operatsiyasi
252883004;Dunlop test;Тест Данлопа;Dunlop testi
360343009;Dunn operation;Операция Данна;Dunn operatsiyasi
235360007;Dunphy repair for rectal prolapse;Пластика Данфи при выпадении прямой кишки;To‘g‘ri ichak prolapsida Dunphy plastika operatsiyasi
167200003;Duodenal aspirate analysis;Анализ дуоденального аспирата;Duodenal aspirat tahlili
313506005;Duodenal fluid chymotrypsin measurement;Измерение химотрипсина в дуоденальной жидкости;Duodenal suyuqlikda ximotripsin miqdorini o‘lchash
313798004;Duodenal fluid trypsin measurement;Измерение трипсина в дуоденальной жидкости;Duodenal suyuqlikda tripsin miqdorini o‘lchash
235467006;Duodenal preserving pancreatic head resection;Резекция головки поджелудочной железы с сохранением двенадцатиперстной кишки;Duodenumni saqlagan holda oshqozon osti bezining bosh qismini rezeksiya qilish
426738005;Duodenal switch;Дуоденальный переключатель;Duodenal switch operatsiyasi
287828006;Duodenal ulcer excision;Иссечение язвы двенадцатиперстной кишки;Duodenal yara eksiziyasi
173887007;Duodenal ulcer operation;Операция при язве двенадцатиперстной кишки;Duodenal yara operatsiyasi
73759005;Duodenectomy;Дуоденэктомия;Duodenektomiya
195115001;Duodenocholedochotomy;Дуоденохоледохотомия;Duodenoholedoxotomiya
60606003;Duodenocholedochotomy with transduodenal choledocholithotomy;Дуоденохоледохотомия с трансдуоденальной холедохолитотомией;Transduodenal xoledoxolitotomiya bilan duodenoholedoxotomiya
10107006;Duodenoduodenostomy;Дуоденодуоденостомия;Duodenoduodenostomiya
45228002;Duodenoileostomy;Дуоденоилеостомия;Duodenoileostomiya
68911004;Duodenojejunostomy;Дуоденоеюностомия;Duodenojejunostomiya
281413005;Duodenoplasty;Дуоденопластика;Duodenoplastika
359594005;Duodenorrhaphy;Дуоденоррафия;Duodenorafiya
80267006;Duodenoscopy;Дуоденоскопия;Duodenoskopiya
1208951004;Duodenoscopy and biopsy of lesion of duodenum;Дуоденоскопия и биопсия поражения двенадцатиперстной кишки;Duodenoskopiya va duodenum o‘chog‘idan biopsiya
286780001;Duodenoscopy through artificial stoma;Дуоденоскопия через искусственную стому;Sun’iy stoma orqali duodenoskopiya
30582003;Duodenostomy;Дуоденостомия;Duodenostomiya
235256007;Duodenostomy operation;Операция дуоденостомии;Duodenostomiya operatsiyasi
359562000;Duodenotomy for biopsy;Дуоденотомия для биопсии;Biopsiya uchun duodenotomiya
39536003;Duodenotomy for foreign body removal;Дуоденотомия для удаления инородного тела;Begona jismni olib tashlash uchun duodenotomiya
312724001;Duplex scan of lower limb arteries;Дуплексное сканирование артерий нижних конечностей;Pastki oyoq arteriyalarining dupleks skanerlashi
312725000;Duplex scan of lower limb veins;Дуплексное сканирование вен нижних конечностей;Pastki oyoq venalarining dupleks skanerlashi
312726004;Duplex scan of upper limb arteries;Дуплексное сканирование артерий верхних конечностей;Yuqori qo‘l arteriyalarining dupleks skanerlashi
312727008;Duplex scan veins of upper limb;Дуплексное сканирование вен верхних конечностей;Yuqori qo‘l venalarining dupleks skanerlashi
1177191006;Duplex ultrasonography;Дуплексная ультрасонография;Dupleks ultratovush tekshiruvi
1178979003;Duplex ultrasonography of bilateral carotid arteries;Дуплексная ультрасонография обеих сонных артерий;Ikkala uyqu arteriyasining dupleks ultratovush tekshiruvi
1178980000;Duplex ultrasonography of carotid artery;Дуплексная ультрасонография сонной артерии;Uyqu arteriyasining dupleks ultratovush tekshiruvi
1178977001;Duplex ultrasonography of left carotid artery;Дуплексная ультрасонография левой сонной артерии;Chap uyqu arteriyasining dupleks ultratovush tekshiruvi
1178978006;Duplex ultrasonography of right carotid artery;Дуплексная ультрасонография правой сонной артерии;O‘ng uyqu arteriyasining dupleks ultratovush tekshiruvi
281175000;Duplication of dental model;Дублирование зубной модели;Tish modelining nusxasini tayyorlash
73570001;Dupuytren shoulder disarticulation;Ампутация плеча по Дюпюитрену;Yelka bo‘g‘imining Dupuytren usuli bilan amputatsiyasi
410331005;Durable medical equipment case management;Ведение случая при использовании долговечного медицинского оборудования;Uzoq muddatli tibbiy uskunalar bo‘yicha holatni boshqarish
410286008;Durable medical equipment education, guidance, and counselling;Обучение, руководство и консультирование по использованию долговечного медицинского оборудования;Uzoq muddatli tibbiy uskunalar bo‘yicha ta’lim, yo‘riqnoma va maslahat
410380000;Durable medical equipment surveillance;Мониторинг использования долговечного медицинского оборудования;Uzoq muddatli tibbiy uskunalarni kuzatish
1285642008;Dural puncture epidural;Эпидуральная анестезия через пункцию твердой мозговой оболочки;Dura mater punktsiyasi orqali epidural anesteziya
233328002;Dural spinal embolisation;Эмболизация спинальной твердой мозговой оболочки;Dura materning spinal embolizatsiyasi
229085008;Duran regime;Режим Дюрана;Duran rejimi
406838008;Durazol red stain method;Метод окраски Durazol red;Durazol red bo‘yoq usuli
223559009;Dutoit and Roux operation;Операция Дюто и Ру;Dutoit va Roux operatsiyasi
217484008;Duvries operation;Операция Дювриса;Duvries operatsiyasi
49806000;Dye dilution studies, dye curves including cardiac output measurement;Исследование методом разведения красителя, кривые разведения с измерением сердечного выброса;Bo‘yoqni suyultirish tadqiqotlari, yurak chiqarish hajmini o‘lchashni o‘z ichiga olgan bo‘yoq egri chiziqlari
42037002;Dye dilution studies, indicator dye curves;Исследование методом разведения красителя, кривые индикаторного красителя;Indikator bo‘yoq egri chiziqlari bilan bo‘yoqni suyultirish tadqiqotlari
418169008;Dye disappearance test;Тест исчезновения красителя;Bo‘yoqning yo‘qolish testi
261597004;Dye test of fallopian tube;Тест с красителем маточной трубы;Bachadon naychalarining bo‘yoq testi
385736008;Dying care;Уход за умирающим;O‘lim oldi parvarishi
385735007;Dying/death measures assessment;Оценка мероприятий при умирании/смерти;O‘lim bilan bog‘liq choralarni baholash
385737004;Dying/death measures education;Обучение мероприятиям при умирании/смерти;O‘lim bilan bog‘liq choralar bo‘yicha ta’lim
385738009;Dying/death measures management;Ведение мероприятий при умирании/смерти;O‘lim bilan bog‘liq choralarni boshqarish
726487002;Dynamic MRI of wrist;Динамическая МРТ запястья;Bilakning dinamik MRT tekshiruvi
1311571000168104;Dynamic Visual Acuity Test - Instrumented;Инструментальный тест динамической остроты зрения;Dinamik ko‘rish o‘tkirligi testi, apparat yordamida
1286902005;Dynamic contour tonometry;Динамическая контурная тонометрия;Dinamik kontur tonometriyasi
725929003;Dynamic contrast-enhanced MRI of wrist;Динамическая МРТ запястья с контрастным усилением;Bilakning kontrast bilan kuchaytirilgan dinamik MRT tekshiruvi
252171003;Dynamic endocrine function test;Динамический тест эндокринной функции;Dinamik endokrin funksional test
715850007;Dynamic expiratory CT of intrathoracic respiratory structures;Динамическая экспираторная КТ внутригрудных дыхательных структур;Ko‘krak qafasi ichidagi nafas olish tuzilmalarining dinamik ekspirator KT tekshiruvi
699807003;Dynamic extension test;Динамический тест разгибания;Dinamik yozilish testi
13256004;Dynamic function study, blood clearance;Динамическое исследование функции: клиренс крови;Dinamik funksional tadqiqot: qon klirensi
433139009;Dynamic magnetic resonance imaging of knee;Динамическая магнитно-резонансная томография колена;Tizzaning dinamik MRT tekshiruvi
446315002;Dynamic magnetic resonance imaging of pelvis;Динамическая магнитно-резонансная томография таза;Chanoqning dinamik MRT tekshiruvi
169129004;Dynamic non-imaging isotope study;Динамическое изотопное исследование без визуализации;Dinamik tasvirsiz izotop tadqiqoti
271462004;Dynamic non-imaging isotope study: blood flow;Динамическое изотопное исследование без визуализации: кровоток;Dinamik tasvirsiz izotop tadqiqoti: qon oqimi
271455008;Dynamic non-imaging isotope study: brain;Динамическое изотопное исследование без визуализации: мозг;Dinamik tasvirsiz izotop tadqiqoti: miya
271457000;Dynamic non-imaging isotope study: heart;Динамическое изотопное исследование без визуализации: сердце;Dinamik tasvirsiz izotop tadqiqoti: yurak
271461006;Dynamic non-imaging isotope study: spleen;Динамическое изотопное исследование без визуализации: селезёнка;Dinamik tasvirsiz izotop tadqiqoti: taloq
271458005;Dynamic non-imaging isotope study: thorax;Динамическое изотопное исследование без визуализации: грудная клетка;Dinamik tasvirsiz izotop tadqiqoti: ko‘krak qafasi
271456009;Dynamic non-imaging isotope study: thyroid;Динамическое изотопное исследование без визуализации: щитовидная железа;Dinamik tasvirsiz izotop tadqiqoti: qalqonsimon bez
271459002;Dynamic non-imaging isotope study: urinary;Динамическое изотопное исследование без визуализации: мочевыделительная система;Dinamik tasvirsiz izotop tadqiqoti: siydik tizimi
1362050003;Dynamic plain X-ray of cervical vertebral column region;Динамическая рентгенография шейного отдела позвоночника;Bo‘yin umurtqa pog‘onasining dinamik rentgenografiyasi
1363354007;Dynamic plain X-ray of lumbar and sacral spine;Динамическая рентгенография поясничного и крестцового отделов позвоночника;Bel va dumg‘aza umurtqa pog‘onasining dinamik rentgenografiyasi
765257004;Dynamic radionuclide imaging of liver and spleen using technetium (99m-Tc);Динамическая радионуклидная визуализация печени и селезёнки с использованием технеция-99m;Texnetsiy-99m yordamida jigar va taloqning dinamik radionuklid tasvirlash tekshiruvi
765253000;Dynamic radionuclide imaging of liver using radioisotope;Динамическая радионуклидная визуализация печени с использованием радиоизотопа;Radioizotop yordamida jigarning dinamik radionuklid tasvirlash tekshiruvi
765258009;Dynamic radionuclide imaging of liver using technetium (99m-Tc);Динамическая радионуклидная визуализация печени с использованием технеция-99m;Texnetsiy-99m yordamida jigarning dinamik radionuklid tasvirlash tekshiruvi
765306000;Dynamic radionuclide imaging of spleen using technetium (99m-Tc);Динамическая радионуклидная визуализация селезёнки с использованием технеция-99m;Texnetsiy-99m yordamida taloqning dinamik radionuklid tasvirlash tekshiruvi
252488004;Dynamic respiratory muscle function test;Динамический тест функции дыхательных мышц;Nafas olish mushaklari funksiyasining dinamik testi
229550002;Dynamic splinting;Динамическое шинирование;Dinamik shinalash
239619003;Dynamisation of external fixator;Динамизация внешнего фиксатора;Tashqi fiksatorni dinamizatsiya qilish
239616005;Dynamisation of external fixator by addition of articulating device;Динамизация внешнего фиксатора путем добавления шарнирного устройства;Bo‘g‘im qurilmasini qo‘shish orqali tashqi fiksatorni dinamizatsiya qilish
239620009;Dynamisation of external fixator by release of constraining device;Динамизация внешнего фиксатора путем освобождения ограничивающего устройства;Cheklovchi qurilmani bo‘shatish orqali tashqi fiksatorni dinamizatsiya qilish
105170002;Dyphylline measurement;Измерение дифиллина;Difillin miqdorini o‘lchash
1199931000168101;Dysarthria assessment;Оценка дизартрии;Dizartriyani baholash
311568004;Dysarthria program;Программа при дизартрии;Dizartriya dasturi
50260001;Dyslexia training;Обучение при дислексии;Disleksiya bo‘yicha trening
473234001;Dyslipidemia medicine review;Пересмотр лекарственной терапии при дислипидемии;Dislipidemiya uchun dori vositalarini ko‘rib chiqish
311569007;Dysphagia therapy regime;Схема терапии дисфагии;Disfagiya terapiya rejimi
439219008;Dysphasia assessment;Оценка дисфазии;Disfaziyani baholash
88607004;Dysphasia training;Обучение при дисфазии;Disfaziya bo‘yicha trening
311566000;Dyspraxia program;Программа при диспраксии;Dispraaksiya dasturi
386262008;Dysreflexia management;Ведение дисрефлексии;Disrefleksiyani boshqarish
386263003;Dysrhythmia management;Ведение дисритмии;Disritmiyani boshqarish
103988007;E blood group antibody identification;Идентификация антител группы крови E;E qon guruhi antitanachalarini aniqlash
103880004;E blood group typing;Типирование группы крови E;E qon guruhini aniqlash
400911007;E test;E-тест;E testi
117812006;E. coli 987P detection;Выявление E. coli 987P;E. coli 987P ni aniqlash
117813001;E. coli F41 detection;Выявление E. coli F41;E. coli F41 ni aniqlash
118031004;E. coli K1 antigen assay;Определение антигена E. coli K1;E. coli K1 antigenini aniqlash
117814007;E. coli K88 detection;Выявление E. coli K88;E. coli K88 ni aniqlash
118032006;E. coli K99 detection;Выявление E. coli K99;E. coli K99 ni aniqlash
401326005;E. coli O157 screening test;Скрининговый тест на E. coli O157;E. coli O157 skrining testi
122201007;E. coli O157:H7 culture;Культура E. coli O157:H7;E. coli O157:H7 kulturasini aniqlash
122002009;E. coli detection;Выявление E. coli;E. coli ni aniqlash
118008004;E. coli enteroinvasive culture;Культура энтероинвазивной E. coli;Enteroinvaziv E. coli kulturasini aniqlash
118101007;E. coli enterotoxic culture;Культура энтеротоксигенной E. coli;Enterotoksigen E. coli kulturasini aniqlash
117731009;E. coli labile toxin assay;Определение лабильного токсина E. coli;E. coli ning labil toksinini aniqlash
117732002;E. coli serotype determination;Определение серотипа E. coli;E. coli serotipini aniqlash
118102000;E. coli shiga-like culture;Культура шигаподобной E. coli;Shigaga o‘xshash E. coli kulturasini aniqlash
118112007;E. coli shiga-like detection;Выявление шигаподобной E. coli;Shigaga o‘xshash E. coli ni aniqlash
118103005;E. coli verotoxic culture;Культура веротоксигенной E. coli;Verotoksigen E. coli kulturasini aniqlash
117733007;E. coli verotoxin assay;Определение веротоксина E. coli;E. coli verotoksinini aniqlash
284020009;ECG ST segment monitoring;Мониторинг сегмента ST на ЭКГ;EKGda ST segmentini monitoring qilish
284021008;ECG automated dysrhythmia monitoring;Автоматизированный мониторинг дисритмии по ЭКГ;EKGda avtomatlashtirilgan disritmiya monitoringi
34455003;ECG monitoring, 10 hour portrait;Мониторинг ЭКГ, 10-часовой портрет;EKG monitoringi, 10 soatlik portret
29303009;ECG procedure;Процедура ЭКГ;EKG muolajasi
68611002;ECG recording from artificial pacemaker;Регистрация ЭКГ от искусственного кардиостимулятора;Sun’iy yurak stimulyatoridan EKG qayd etish
709187004;ECG via fetal scalp electrodes;ЭКГ через электроды на коже головы плода;Homila bosh terisi elektrodlari orqali EKG
1156362006;ECG with exercise test using Bruce protocol;ЭКГ с нагрузочным тестом по протоколу Брюса;Bryus protokoli bo‘yicha yuklama testi bilan EKG
73605004;ECG with vectorcardiogram;ЭКГ с векторкардиограммой;Vektorkardiogramma bilan EKG
54550000;EEG;ЭЭГ;EEG
252740003;EEG and EMG myoclonus recording;Регистрация миоклонуса с ЭЭГ и ЭМГ;EEG va EMG bilan mioklonusni qayd etish
252726004;EEG during special activation procedure;ЭЭГ во время специальной активационной процедуры;Maxsus faollashtirish muolajasi vaqtida EEG
252739000;EEG telemetry;ЭЭГ-телеметрия;EEG telemetriyasi
252725000;EEG with drug administration;ЭЭГ с введением лекарственного средства;Dori vositasi yuborish bilan EEG
252722002;EEG with overbreathing;ЭЭГ с гипервентиляцией;Giperventilyatsiya bilan EEG
252724001;EEG with overbreathing and photic stimulation;ЭЭГ с гипервентиляцией и фотостимуляцией;Giperventilyatsiya va fotostimulyatsiya bilan EEG
252723007;EEG with photic stimulation;ЭЭГ с фотостимуляцией;Fotostimulyatsiya bilan EEG
9,35741E+14;EJ antibody measurement;Измерение антител EJ;EJ antitanasini o‘lchash
90320007;ELISA by avidin biotin peroxidase complex method;ИФА методом авидин-биотин-пероксидазного комплекса;Avidin-biotin peroksidaza kompleksi usuli bilan ELISA
85311003;ELISA by peroxidase-antiperoxidase method;ИФА методом пероксидаза-антипероксидаза;Peroksidaza-antiperoksidaza usuli bilan ELISA
170886004;ENT disorder monitoring;Мониторинг заболеваний ЛОР-органов;Quloq, burun va tomoq kasalliklari monitoringi
183462003;ENT emergency hospital admission;Экстренная госпитализация в ЛОР-отделение;Quloq, burun va tomoq bo‘yicha shoshilinch kasalxonaga yotqizish
183697006;ENT self-referral;Самостоятельное обращение в ЛОР-службу;Quloq, burun va tomoqqa o‘z tashabbusi bilan murojaat qilish
241372008;ERPF determination;Определение эффективного почечного плазмотока;Samarali buyrak plazma oqimini aniqlash
103996002;E^w^ blood group antibody identification;Идентификация антител группы крови E^w^;E^w^ qon guruhi antitanachalarini aniqlash
103882007;E^w^ blood group typing;Типирование группы крови E^w^;E^w^ qon guruhini aniqlash
359900000;Ea rosette test;Тест розеткообразования Ea;Ea rozetka testi
359906006;Eac rosette test;Тест розеткообразования Eac;Eac rozetka testi
249662000;Eagleton operation;Операция Иглтона;Eagleton operatsiyasi
226008009;Ear care;Уход за ухом;Quloq parvarishi
385898003;Ear care assessment;Оценка ухода за ухом;Quloq parvarishini baholash
385899006;Ear care education;Обучение уходу за ухом;Quloq parvarishi bo‘yicha ta’lim
385900001;Ear care management;Ведение ухода за ухом;Quloq parvarishini boshqarish
7,67021E+14;Ear culture;Культуральное исследование материала из уха;Quloqdan olingan material kulturasini aniqlash
170966002;Ear disorder monitoring;Мониторинг заболеваний уха;Quloq kasalliklari monitoringi
171219003;Ear disorder screening;Скрининг заболеваний уха;Quloq kasalliklari skriningi
128392000;Ear excision;Иссечение уха;Quloq eksiziyasi
8,38301E+14;Ear microscopy, culture and sensitivities;Микроскопия материала из уха, культуральное исследование и определение чувствительности;Quloq materiali mikroskopiyasi, kulturasi va sezgirligini aniqlash
36714002;Ear pedicle graft preparation;Подготовка ушного лоскута на ножке;Quloq pedikulli greftini tayyorlash
50222005;Ear tattooing;Татуирование уха;Quloq tatuirovkasi
410241005;Ear wax removal assessment;Оценка удаления ушной серы;Quloq kirini olib tashlashni baholash
410242003;Ear wax removal education;Обучение удалению ушной серы;Quloq kirini olib tashlash bo‘yicha ta’lim
410243008;Ear wax removal management;Ведение удаления ушной серы;Quloq kirini olib tashlashni boshqarish
113028003;Ear, nose and throat examination;Осмотр уха, носа и горла;Quloq, burun va tomoq tekshiruvi
75771002;Ear, nose and throat examination under general anaesthesia;Осмотр уха, носа и горла под общей анестезией;Quloq, burun va tomoqni umumiy anesteziya ostida tekshirish
401295002;Ear, nose and throat microscopy, culture and sensitivities;Микроскопия материала из уха, носа и горла, культуральное исследование и определение чувствительности;Quloq, burun va tomoq materiali mikroskopiyasi, kulturasi va sezgirligini aniqlash
302775008;Ear, nose and throat tests;Исследования уха, носа и горла;Quloq, burun va tomoq testlari
45240002;Earlobe stick;Прокол мочки уха;Quloq yumshog‘ini teshib olish
1285182002;Early childhood intervention programme;Программа раннего вмешательства в детском возрасте;Erta bolalik aralashuv dasturi
252770008;Early cutaneous reflex recording;Регистрация раннего кожного рефлекса;Erta teri refleksini qayd etish
390815004;Early intervention in psychosis;Раннее вмешательство при психозе;Psixozda erta aralashuv
391188004;Early intervention in psychosis - 1-2 contacts/week;Раннее вмешательство при психозе — 1–2 контакта в неделю;Psixozda erta aralashuv, haftasiga 1–2 marta aloqa
391189007;Early intervention in psychosis - 1-3 contacts/month;Раннее вмешательство при психозе — 1–3 контакта в месяц;Psixozda erta aralashuv, oyiga 1–3 marta aloqa
391183008;Early intervention in psychosis - 24 hour intensive;Раннее вмешательство при психозе — круглосуточное интенсивное;Psixozda erta aralashuv, 24 soatlik intensiv
391184002;Early intervention in psychosis - 24 hour not intensive;Раннее вмешательство при психозе — круглосуточное неинтенсивное;Psixozda erta aralashuv, 24 soatlik nointensiv
391187009;Early intervention in psychosis - 3-5 contacts/week;Раннее вмешательство при психозе — 3–5 контактов в неделю;Psixozda erta aralashuv, haftasiga 3–5 marta aloqa
391190003;Early intervention in psychosis - <1 contact/month;Раннее вмешательство при психозе — <1 контакта в месяц;Psixozda erta aralashuv, oyiga 1 martadan kam aloqa
391186000;Early intervention in psychosis - Daily intensive;Раннее вмешательство при психозе — ежедневное интенсивное;Psixozda erta aralashuv, har kuni intensiv
391185001;Early intervention in psychosis - Part day : day care;Раннее вмешательство при психозе — часть дня: дневной уход;Psixozda erta aralashuv, kunning bir qismi: kunduzgi parvarish
391269001;Early intervention in psychosis HRGs;Группы ресурсов здоровья для раннего вмешательства при психозе;Psixozda erta aralashuv HRGlari
865967000;Early psychological support for critically ill;Ранняя психологическая поддержка для критически больных;Og‘ir ahvoldagi bemorlarga erta psixologik yordam
252789008;Early receptor potential electroretinography;Электроретинография раннего рецепторного потенциала;Erta retseptor potensial elektroretinografiyasi
177095006;Early selective feticide;Ранний селективный фетицид;Erta selektiv fetitsid
117968001;Eastern equine encephalitis virus antigen assay;Определение антигена вируса восточного энцефалита лошадей;Sharqiy ot ensefaliti virusi antigenini aniqlash
311676007;Easy speech exercises;Упражнения для лёгкой речи;Oson nutq mashqlari
4,39101E+14;Easy to chew diet;Диета с мягкой пищей, которую легко жевать;Oson chaynashga mo‘ljallangan dieta
1230095007;Eating and drinking training;Обучение приёму пищи и питья;Ovqatlanish va ichish bo‘yicha trening
313076000;Eating disorder counselling;Консультирование при расстройствах пищевого поведения;Ovqatlanish buzilishlari bo‘yicha maslahat
386264009;Eating disorders management;Ведение расстройств пищевого поведения;Ovqatlanish buzilishlarini boshqarish
290050007;Eating practice;Практика приёма пищи;Ovqatlanish amaliyoti
8,32541E+14;Ebolavirus nucleic acid assay;Определение нуклеиновой кислоты эболавируса;Ebolavirus nuklein kislotasini aniqlash
165003006;Echinococcus extract skin test;Кожная проба с экстрактом эхинококка;Echinococcus ekstrakti bilan teri testi
388815000;Echinococcus specific IgE antibody measurement;Измерение специфических IgE-антител к эхинококку;Echinococcus ga xos IgE antitanachalarini o‘lchash
933434781000036109;Echis clotting time;Время свёртывания с ядом эфы;Echis ivish vaqti
40701008;Echocardiography;Эхокардиография;Ekokardiografiya
8151003;Echocardiography for detecting cardiac output;Эхокардиография для определения сердечного выброса;Yurak chiqarish hajmini aniqlash uchun ekokardiografiya
40357002;Echocardiography for determining mitral and tricuspid valve motion;Эхокардиография для определения движения митрального и трикуспидального клапанов;Mitral va trikuspid klapanlar harakatini aniqlash uchun ekokardiografiya
83061004;Echocardiography for determining mitral valve motion;Эхокардиография для определения движения митрального клапана;Mitral klapan harakatini aniqlash uchun ekokardiografiya
61832002;Echocardiography for determining mitral, aortic and tricuspid valve motion;Эхокардиография для определения движения митрального, аортального и трикуспидального клапанов;Mitral, aortal va trikuspid klapanlar harakatini aniqlash uchun ekokardiografiya
61982008;Echocardiography for determining pericardial effusion;Эхокардиография для определения перикардиального выпота;Perikardial effuziyani aniqlash uchun ekokardiografiya
53457009;Echocardiography for determining prosthetic valve motion;Эхокардиография для определения движения протезированного клапана;Protez klapan harakatini aniqlash uchun ekokardiografiya
74193008;Echocardiography for determining size of ventricular chambers;Эхокардиография для определения размеров желудочковых камер;Qorinchalar kameralarining o‘lchamini aniqlash uchun ekokardiografiya
35757004;Echocardiography for determining ventricular contraction;Эхокардиография для определения сокращения желудочков;Qorinchalar qisqarishini aniqlash uchun ekokardiografiya
816997000;Echocardiography using pharmacologic stress agent;Эхокардиография с использованием фармакологического стресс-агента;Farmakologik stress agenti yordamida ekokardiografiya
62559003;Echocardiography, real time with image documentation with M-mode, follow-up;Эхокардиография в реальном времени с документированием изображений в M-режиме, контрольная;M-rejim bilan tasvirlarni hujjatlashtirgan holda real vaqt ekokardiografiyasi, kuzatuv
