					B01AE	Toʻgʻri trombin ingibitorlari	Ингибиторы тромбина прямые	B01AE06	Bivalirudin	Бивалирудин
					B01AE	Toʻgʻri trombin ingibitorlari	Ингибиторы тромбина прямые	B01AE07	Dabigatran eteksilati	Дабигатрана этексилат
					B01AF	Toʻgʻri Xa faktori  ingibitorlari	Прямые ингибиторы фактора Хa	B01AF01	Rivaroksaban	Ривароксабан
					B01AF	Toʻgʻri Xa faktori  ingibitorlari	Прямые ингибиторы фактора Хa	B01AF02	Apiksaban	Апиксабан
					B01AF	Toʻgʻri Xa faktori  ingibitorlari	Прямые ингибиторы фактора Хa	B01AF03	Edoksaban	Эдоксабан
					B01AF	Toʻgʻri Xa faktori  ingibitorlari	Прямые ингибиторы фактора Хa	B01AF04	Edoksaban	Betriksaban
					B01AF	Toʻgʻri Xa faktori  ingibitorlari	Прямые ингибиторы фактора Хa	B01AF51	Edoksaban	Rivaroksaban va atsetilsalitsil kislotasi
					B01AX	Boshqa antitrombotik vositalar	Другие антитромботические средства	B01AX01	Defibrotid	Дефибротид
					B01AX	Boshqa antitrombotik vositalar	Другие антитромботические средства	B01AX04	Dermatan sulfati	Дерматан сульфат
					B01AX	Boshqa antitrombotik vositalar	Другие антитромботические средства	B01AX05	Fondaparinuks natriy	Фондапаринукс натрия
					B01AX	Boshqa antitrombotik vositalar	Другие антитромботические средства	B01AX07	"Kaplatsizumab
 "	Каплацизумаб
					B02AA	Aminokislotalar	Аминокислоты	B02AA01	Aminokapron kislotasi	Аминокапроновая кислота
					B02AA	Aminokislotalar	Аминокислоты	B02AA02	Traneksam kislotasi	Транексамовая кислота
					B02AA	Aminokislotalar	Аминокислоты	B02AA03	Aminometilbenzoy kislotasi	Аминометилбензойная кислота
					B02AB	Plazma proteinazalari ingibitorlari	Ингибиторы протеиназ плазмы	B02AB01	Aprotinin	Апротинин
					B02AB	Plazma proteinazalari ingibitorlari	Ингибиторы протеиназ плазмы	B02AB02	Alfa1-antitripsin	Альфа1-антитрипсин
					B02AB	Plazma proteinazalari ingibitorlari	Ингибиторы протеиназ плазмы	B02AB04	Kamostat	Камостат
					B02AB	Plazma proteinazalari ingibitorlari	Ингибиторы протеиназ плазмы	B02AB05	Ulinastatin	Улинастатин
					B02BA	Vitamin K	Витамин К	B02BA01	Fitomenadion	Фитоменадион
					B02BA	Vitamin K	Витамин К	B02BA02	Menadion	Менадион
					B02BB	Fibrinogen	Фибриноген	B02BB01	Odam fibronogeni	Фибриноген человеческий
					B02BC	Mahalliy qoʻllash uchun gemostatik vositalar	Гемостатические средства для местного применения	B02BC01	Soʻriladigan jelatin gubkasi	Желатиновая губка абсорбирующая
					B02BC	Mahalliy qoʻllash uchun gemostatik vositalar	Гемостатические средства для местного применения	B02BC02	Oksidlangan sellyuloza	Целлюлоза окисленная
					B02BC	Mahalliy qoʻllash uchun gemostatik vositalar	Гемостатические средства для местного применения	B02BC03	Tetragalakturon kislotalar gidroksimetilefir	Тетрагалактуроновой кислоты гидроксиметилэфир
					B02BC	Mahalliy qoʻllash uchun gemostatik vositalar	Гемостатические средства для местного применения	B02BC05	Adrenalon	Адреналон
					B02BC	Mahalliy qoʻllash uchun gemostatik vositalar	Гемостатические средства для местного применения	B02BC06	Trombin	Тромбин
					B02BC	Mahalliy qoʻllash uchun gemostatik vositalar	Гемостатические средства для местного применения	B02BC07	Kollagen	Коллаген
					B02BC	Mahalliy qoʻllash uchun gemostatik vositalar	Гемостатические средства для местного применения	B02BC08	Kalsiy alginati	Кальция альгинат
					B02BC	Mahalliy qoʻllash uchun gemostatik vositalar	Гемостатические средства для местного применения	B02BC09	Epinefrin	Эпинефрин
					B02BC	Mahalliy qoʻllash uchun gemostatik vositalar	Гемостатические средства для местного применения	B02BC30	 Mahalliy gemostatiklar	Гемостатики местные в комбинации
					B02BD	Qon ivish faktorlari	Факторы свертывания крови	B02BD01	 II, VII, IX va X qon ivish faktori majmuada	Фактор свертывания крови II, VII, IX и X в комбинации
					B02BD	Qon ivish faktorlari	Факторы свертывания крови	B02BD02	VIII qon ivish faktori	Фактор свертывания крови VIII
					B02BD	Qon ivish faktorlari	Факторы свертывания крови	B02BD03	VIII qon ivish faktorini buzuvchi ingibitorlari	Фактора свертывания крови VIII разрушения ингибиторы
					B02BD	Qon ivish faktorlari	Факторы свертывания крови	B02BD04	IX qon ivish faktori	Фактор свертывания крови IX
					B02BD	Qon ivish faktorlari	Факторы свертывания крови	B02BD05	VIII qon ivish faktori	Фактор свертывания крови VIII
					B02BD	Qon ivish faktorlari	Факторы свертывания крови	B02BD06	Villebrand faktori va VIII qon ivish faktori	Фактор виллебранда и фактор свертывания крови VIII
					B02BD	Qon ivish faktorlari	Факторы свертывания крови	B02BD07	XIII qon ivish faktori	Фактор свертывания крови XIII
					B02BD	Qon ivish faktorlari	Факторы свертывания крови	B02BD08	Eptakog alfa (faollashtirilgan)	Эптаког альфа (активированный)
					B02BD	Qon ivish faktorlari	Факторы свертывания крови	B02BD10	Villebrand faktori	Фактор виллебранда
					B02BD	Qon ivish faktorlari	Факторы свертывания крови	B02BD11	Katridekakog	Катридекаког
					B02BD	Qon ivish faktorlari	Факторы свертывания крови	B02BD13	X koagulyatsiya faktori	Фактор коагуляции Х
					B02BD	Qon ivish faktorlari	Факторы свертывания крови	B02BD14	Suzoktokog alfa	Сузоктоког альфа
					B02BD	Qon ivish faktorlari	Факторы свертывания крови	B02BD15	Roksaparvovec valoktokogen	 Валоктокоген роксапарвовек
					B02BD	Qon ivish faktorlari	Факторы свертывания крови	B02BD16	Etranakogen dezaparvov	Этранакоген дезапарвов
					B02BD	Qon ivish faktorlari	Факторы свертывания крови	B02BD17	Fidanakogen elaparvovek	Фиданакоген элапарвовек
					B02BD	Qon ivish faktorlari	Факторы свертывания крови	B02BD30	Trombin	Тромбин
					B02BX	Tizimli taʼsirga ega boshqa gemostatik vositalar	Другие гемостатические средства системного действия	B02BX01	Etamzilat	Этамзилат
					B02BX	Tizimli taʼsirga ega boshqa gemostatik vositalar	Другие гемостатические средства системного действия	B02BX02	Karbazoxrom	Карбазохром
					B02BX	Tizimli taʼsirga ega boshqa gemostatik vositalar	Другие гемостатические средства системного действия	B02BX03	Batroksobin	Батроксобин
					B02BX	Tizimli taʼsirga ega boshqa gemostatik vositalar	Другие гемостатические средства системного действия	B02BX04	Romiplostim	Ромиплостим
					B02BX	Tizimli taʼsirga ega boshqa gemostatik vositalar	Другие гемостатические средства системного действия	B02BX05	Eltrombopag	Элтромбопаг
					B02BX	Tizimli taʼsirga ega boshqa gemostatik vositalar	Другие гемостатические средства системного действия	B02BX06	 Emitsizumab	 Эмицизумаб
					B02BX	Tizimli taʼsirga ega boshqa gemostatik vositalar	Другие гемостатические средства системного действия	B02BX07	Lusutrombopag	Лусутромбопаг
					B02BX	Tizimli taʼsirga ega boshqa gemostatik vositalar	Другие гемостатические средства системного действия	B02BX08	Avatrombopag	Аватромбопаг
					B02BX	Tizimli taʼsirga ega boshqa gemostatik vositalar	Другие гемостатические средства системного действия	B02BX09	Fostamatinib	Фостаматиниб
					B02BX	Tizimli taʼsirga ega boshqa gemostatik vositalar	Другие гемостатические средства системного действия	B02BX10	Konsizumab	Концизумаб
					B02BX	Tizimli taʼsirga ega boshqa gemostatik vositalar	Другие гемостатические средства системного действия	B02BX11	Marstasimab	Марстацимаб
					B03AA	Ikki valentli peroral temir preparatlari	Пероральные препараты двухвалентного железа	B03AA01	Temir glitsin sulfati	Железа глицин сульфат
					B03AA	Ikki valentli peroral temir preparatlari	Пероральные препараты двухвалентного железа	B03AA02	Temir fumarat	Железа фумарат
					B03AA	Ikki valentli peroral temir preparatlari	Пероральные препараты двухвалентного железа	B03AA03	Temir glyukonati	Железа глюконат
					B03AA	Ikki valentli peroral temir preparatlari	Пероральные препараты двухвалентного железа	B03AA04	Temir karbonati	Железа карбонат
					B03AA	Ikki valentli peroral temir preparatlari	Пероральные препараты двухвалентного железа	B03AA05	Temir xloridi	Железа хлорид
					B03AA	Ikki valentli peroral temir preparatlari	Пероральные препараты двухвалентного железа	B03AA06	Temir suksinati	Железа сукцинат
					B03AA	Ikki valentli peroral temir preparatlari	Пероральные препараты двухвалентного железа	B03AA07	Temir sulfati	Железа сульфат
					B03AA	Ikki valentli peroral temir preparatlari	Пероральные препараты двухвалентного железа	B03AA08	Temir tartrati	Железа тартрат
					B03AA	Ikki valentli peroral temir preparatlari	Пероральные препараты двухвалентного железа	B03AA09	Temir aspartati	Железа аспартат
					B03AA	Ikki valentli peroral temir preparatlari	Пероральные препараты двухвалентного железа	B03AA10	Temir askorbati	Железа аскорбат
					B03AA	Ikki valentli peroral temir preparatlari	Пероральные препараты двухвалентного железа	B03AA11	Temir yodidi	Железа йодид
					B03AA	Ikki valentli peroral temir preparatlari	Пероральные препараты двухвалентного железа	B03AA12	Temir natriy sitrati	Железа натрия цитрат
					B03AB	Uch valentli peroral temir preparatlari	Пероральные препараты трехвалентного железа	B03AB01	Temir natriy sitrati	Железа натрия цитрат
					B03AB	Uch valentli peroral temir preparatlari	Пероральные препараты трехвалентного железа	B03AB02	Temir oksid saxarati	Железа оксид сахарат
					B03AB	Uch valentli peroral temir preparatlari	Пероральные препараты трехвалентного железа	B03AB03	Natriy feredetati	Натрия фередетат
					B03AB	Uch valentli peroral temir preparatlari	Пероральные препараты трехвалентного железа	B03AB04	Temir gidroksidi	Железа гидроксид
					B03AB	Uch valentli peroral temir preparatlari	Пероральные препараты трехвалентного железа	B03AB05	Temir (III) gidroksid polimaltozati	Железа (III) гидроксид полимальтозат
					B03AB	Uch valentli peroral temir preparatlari	Пероральные препараты трехвалентного железа	B03AB07	Xondroitin sulfat temir bilan majmuada	Хондроитина сульфата комплекс с железом
					B03AB	Uch valentli peroral temir preparatlari	Пероральные препараты трехвалентного железа	B03AB08	Temir atsetiltransferrin	Железа ацетилтрансферрин
					B03AB	Uch valentli peroral temir preparatlari	Пероральные препараты трехвалентного железа	B03AB09	Temir proteinsuksinilat	Железа протеинсукцинилат
					B03AB	Uch valentli peroral temir preparatlari	Пероральные препараты трехвалентного железа	B03AB10	Temir maltol	Железа мальтол
					B03AC	Uch valentli parenteral temir preparatlari	Парентеральные препараты трехвалентного железа	B03AC01	Dektriferron	Декстриферрон
					B03AC	Uch valentli parenteral temir preparatlari	Парентеральные препараты трехвалентного железа	B03AC02	Temir oksidi saxarati	Железа оксида сахарат
					B03AC	Uch valentli parenteral temir preparatlari	Парентеральные препараты трехвалентного железа	B03AC03	Temir [III] gidroksid dekstran	Железа [III] гидроксид декстран
					B03AD	Temir preparatlari folat kislotasi bilan majmuada	Препараты железа в комбинации с фолиевой кислотой	B03AD01	Temir preparatlari aminokislotalar bilan majmuada	Препараты железа в комплексе с аминокислотами
					B03AD	Temir preparatlari folat kislotasi bilan majmuada	Препараты железа в комбинации с фолиевой кислотой	B03AD02	Temir fumorati folat kislota bilan majmuada	Железа фумарат в комбинации с фолиевой кислотой
					B03AD	Temir preparatlari folat kislotasi bilan majmuada	Препараты железа в комбинации с фолиевой кислотой	B03AD03	Temir glyukonat boshqa preparatlar bilan majmuada	Железа глюконат в комбинации с другими препаратами
					B03AD	Temir preparatlari folat kislotasi bilan majmuada	Препараты железа в комбинации с фолиевой кислотой	B03AD04	Dekstriferron	Декстриферрон
					B03AD	Temir preparatlari folat kislotasi bilan majmuada	Препараты железа в комбинации с фолиевой кислотой	B03AD05	Dekstriferron	Железа сульфат в комбинации с фолиевой кислотой
					B03AE	Temir preparatlari folat kislotasi bilan majmuada	Препараты железа в комбинации со средствами	B03AE01	Temir preparatlari vitamin B12 va folat kislotasi bilan majmuada	Железа препараты в комбинации с витамином B12 и фолиевой кислотой
					B03AE	Temir preparatlari folat kislotasi bilan majmuada	Препараты железа в комбинации со средствами	B03AE02	Temir preparatlari polivitaminlar va folat kislotasi bilan majmuada	Железа препараты в комбинации с поливитаминами и фолиевой кислотой
					B03AE	Temir preparatlari folat kislotasi bilan majmuada	Препараты железа в комбинации со средствами	B03AE03	Temir preparatlari polivitaminlar bilan majmuada	Железа препараты в комбинации с поливитаминами
					B03AE	Temir preparatlari folat kislotasi bilan majmuada	Препараты железа в комбинации со средствами	B03AE04	Temir preparatlari polivitaminlar va mineral saqlovchi preparatlar bilan majmuada	Железа препараты в комбинации с поливитаминами и минералосодержащими препаратами
					B03AE	Temir preparatlari folat kislotasi bilan majmuada	Препараты железа в комбинации со средствами	B03AE10	Temir preparatlari boshqa preparatlar bilan majmuada	Железа препараты в комбинации с прочими препаратами
					B03BA	Vitamin B12 (sianokobalamin va uning analoglari)	Витамин В12 (цианокобаламин и его аналоги)	B03BA01	Sianokobalamin	Цианокобаламин
					B03BA	Vitamin B12 (sianokobalamin va uning analoglari)	Витамин В12 (цианокобаламин и его аналоги)	B03BA02	Sianokobalamin-tanin majmuasi	Цианокобаламин-таниновый комплекс
					B03BA	Vitamin B12 (sianokobalamin va uning analoglari)	Витамин В12 (цианокобаламин и его аналоги)	B03BA03	Gidroksokobalamin	Гидроксокобаламин
					B03BA	Vitamin B12 (sianokobalamin va uning analoglari)	Витамин В12 (цианокобаламин и его аналоги)	B03BA04	Kobamamid	Кобамамид
					B03BA	Vitamin B12 (sianokobalamin va uning analoglari)	Витамин В12 (цианокобаламин и его аналоги)	B03BA05	Mekobalamin	Мекобаламин
					B03BA	Vitamin B12 (sianokobalamin va uning analoglari)	Витамин В12 (цианокобаламин и его аналоги)	B03BA51	Sianokobalamin boshqa vositalar bilan majmuada	Цианокобаламин в комбинации со средствами
					B03BA	Vitamin B12 (sianokobalamin va uning analoglari)	Витамин В12 (цианокобаламин и его аналоги)	B03BA53	Gidroksokobalamin boshqa vositalar bilan majmuada	Гидроксокобаламин в комбинации со средствами
					B03BB	Folat kislotasi va uning hosilalari	Фолиевая кислота и ее производные	B03BB01	Folat kislotasi	Фолиевая кислота
					B03BB	Folat kislotasi va uning hosilalari	Фолиевая кислота и ее производные	B03BB51	Folat kislotasi boshqa vositalar bilan majmuada	Фолиевая кислота в комбинации со средствами
					B03XA	Boshqa anemiyaga qarshi preparatlar	Другие антианемические препараты	B03XA01	Eritropoetin	Эритропоэтин
					B03XA	Boshqa anemiyaga qarshi preparatlar	Другие антианемические препараты	B03XA02	Darbepoetin alfa	Дарбэпоэтин альфа
					B03XA	Boshqa anemiyaga qarshi preparatlar	Другие антианемические препараты	B03XA03	Metoksipolietilenglikol-epoetin beta	Метоксиполиэтиленгликоль-эпоэтин бета
					B03XA	Boshqa anemiyaga qarshi preparatlar	Другие антианемические препараты	B03XA04	Peginesatid	Пэгинесатид
					B03XA	Boshqa anemiyaga qarshi preparatlar	Другие антианемические препараты	B03XA05	Roksadustat	Роксадустат
					B03XA	Boshqa anemiyaga qarshi preparatlar	Другие антианемические препараты	B03XA06	 Luspatersept	 Луспатерцепт
					B03XA	Boshqa anemiyaga qarshi preparatlar	Другие антианемические препараты	B03XA07	 Daprodustat	 Дапродустат
					B03XA	Boshqa anemiyaga qarshi preparatlar	Другие антианемические препараты	B03XA08	 Vadadustat	 Вададустат
					B03XA	Boshqa anemiyaga qarshi preparatlar	Другие антианемические препараты	B03XA09	Molidustat	Молидустат
					B03XA	Boshqa anemiyaga qarshi preparatlar	Другие антианемические препараты	B03XA10	Efepoetin alfa	Эфэпоэтин альфа
					B05AA	Qon oʻrnini bosuvchi va qon plazmasi preparatlari	Кровезаменители и препараты плазмы крови	B05AA01	Albumin	Альбумин
					B05AA	Qon oʻrnini bosuvchi va qon plazmasi preparatlari	Кровезаменители и препараты плазмы крови	B05AA02	Boshqa plazma oqsil fraksiyalari	Белковые фракции плазмы другие
					B05AA	Qon oʻrnini bosuvchi va qon plazmasi preparatlari	Кровезаменители и препараты плазмы крови	B05AA03	Ftorkarbon qon oʻrnini bosuvchilar	Фторкарбоновые кровезаменители
					B05AA	Qon oʻrnini bosuvchi va qon plazmasi preparatlari	Кровезаменители и препараты плазмы крови	B05AA05	Dekstran	Декстран
					B05AA	Qon oʻrnini bosuvchi va qon plazmasi preparatlari	Кровезаменители и препараты плазмы крови	B05AA06	Jelatin preparatlari	Желатина препараты
					B05AA	Qon oʻrnini bosuvchi va qon plazmasi preparatlari	Кровезаменители и препараты плазмы крови	B05AA07	Gidroksietilkraxmal	Гидроксиэтилкрахмал
					B05AA	Qon oʻrnini bosuvchi va qon plazmasi preparatlari	Кровезаменители и препараты плазмы крови	B05AA08	Gemoglobin krosfumaril	Гемоглобин кросфумарил
					B05AA	Qon oʻrnini bosuvchi va qon plazmasi preparatlari	Кровезаменители и препараты плазмы крови	B05AA09	Gemoglobin raffimer	Гемоглобин раффимер
					B05AA	Qon oʻrnini bosuvchi va qon plazmasi preparatlari	Кровезаменители и препараты плазмы крови	B05AA10	Gemoglobin glutamer (qora mol)	Гемоглобин глутамер (бычий)
					B05AX	Boshqa qon preparatlari	Другие препараты крови	B05AX01	Eritrotsitlar	Эритроциты
					B05AX	Boshqa qon preparatlari	Другие препараты крови	B05AX02	Trombotsitlar	Тромбоциты
					B05AX	Boshqa qon preparatlari	Другие препараты крови	B05AX03	Qon plazmasi	Плазма крови
					B05AX	Boshqa qon preparatlari	Другие препараты крови	B05AX04	Kindik qonidan oʻzak xujayralar	Стволовые клетки из пуповинной крови
					B05BA	Parenteral oziqlantirish uchun eritmalar	Растворы для парентерального питания	B05BA01	Aminokislotalar	Аминокислоты
					B05BA	Parenteral oziqlantirish uchun eritmalar	Растворы для парентерального питания	B05BA02	Yogʻli emulsiyalar	Жировые эмульсии
					B05BA	Parenteral oziqlantirish uchun eritmalar	Растворы для парентерального питания	B05BA03	Uglevodlar	Углеводы
					B05BA	Parenteral oziqlantirish uchun eritmalar	Растворы для парентерального питания	B05BA04	Oqsil gidrolizati	Белковые гидролизаты
					B05BA	Parenteral oziqlantirish uchun eritmalar	Растворы для парентерального питания	B05BA10	Parenteral oziqlantirish uchun preparatlar majmuada 	Препараты для парентерального питания комбинированные
					B05BB	Suv-elektrolit balansiga taʼsir etuvchi eritmalar	Растворы, влияющие на водно-электролитный баланс	B05BB01	Elektrolitlar	Электролиты
					B05BB	Suv-elektrolit balansiga taʼsir etuvchi eritmalar	Растворы, влияющие на водно-электролитный баланс	B05BB02	Elektrolitlar uglevodlar bilan majmuada	Электролиты в комбинации с углеводами
					B05BB	Suv-elektrolit balansiga taʼsir etuvchi eritmalar	Растворы, влияющие на водно-электролитный баланс	B05BB03	Trometamol	Трометамол
					B05BB	Suv-elektrolit balansiga taʼsir etuvchi eritmalar	Растворы, влияющие на водно-электролитный баланс	B05BB04	Elektrolitlar boshqa preparatlar bilan majmuada	Электролиты в комбинации с другими препаратами
					B05BC	Osmodiuretik taʼsirga ega eritmalar	Растворы с осмодиуретическим действием	B05BC01	Mannitol	Маннитол
					B05BC	Osmodiuretik taʼsirga ega eritmalar	Растворы с осмодиуретическим действием	B05BC02	Mochevina	Мочевина
					B05CA	Mikroblarga qarshi eritmalar	Противомикробные растворы	B05CA01	Setilpiridin xloridi	Цетилпиридиния хлорид
					B05CA	Mikroblarga qarshi eritmalar	Противомикробные растворы	B05CA02	Xlorgeksidin	Хлоргексидин
					B05CA	Mikroblarga qarshi eritmalar	Противомикробные растворы	B05CA03	Nitrofural	Нитрофурал
					B05CA	Mikroblarga qarshi eritmalar	Противомикробные растворы	B05CA04	Sulfametizol	Сульфаметизол
					B05CA	Mikroblarga qarshi eritmalar	Противомикробные растворы	B05CA05	Taurolidin	Тауролидин
					B05CA	Mikroblarga qarshi eritmalar	Противомикробные растворы	B05CA06	Mandelov kislotasi	Манделовая кислота
					B05CA	Mikroblarga qarshi eritmalar	Противомикробные растворы	B05CA07	Noksitiolin	Нокситиолин
					B05CA	Mikroblarga qarshi eritmalar	Противомикробные растворы	B05CA08	Etakridin	Этакридин
					B05CA	Mikroblarga qarshi eritmalar	Противомикробные растворы	B05CA09	Neomitsin	Неомицин
					B05CA	Mikroblarga qarshi eritmalar	Противомикробные растворы	B05CA10	 Mikroblarga qarshi preparatlar majmuada	Противомикробные препараты комбинированные
					B05CB	Tuzli eritmalar	Солевые растворы	B05CB01	Natriy xloridi	Натрия хлорид
					B05CB	Tuzli eritmalar	Солевые растворы	B05CB02	Natriy sitrati	Натрия цитрат
					B05CB	Tuzli eritmalar	Солевые растворы	B05CB03	Magniy sitrati	Магния цитрат
					B05CB	Tuzli eritmalar	Солевые растворы	B05CB04	Natriy gidrokarbonati	Натрия гидрокарбонат
					B05CB	Tuzli eritmalar	Солевые растворы	B05CB10	 Tuzli eritmalar majmuada	Солевые растворы комбинированные
					B05CX	Boshqa irrigatsion eritmalar	Другие ирригационные растворы	B05CX01	Dekstroza	Декстроза
					B05CX	Boshqa irrigatsion eritmalar	Другие ирригационные растворы	B05CX02	Sorbitol	Сорбитол
					B05CX	Boshqa irrigatsion eritmalar	Другие ирригационные растворы	B05CX03	Glitsin	Глицин
					B05CX	Boshqa irrigatsion eritmalar	Другие ирригационные растворы	B05CX04	Mannitol	Маннитол
					B05CX	Boshqa irrigatsion eritmalar	Другие ирригационные растворы	B05CX10	 Irrigatsion eritmalar majmuada	Ирригационных растворов комбинации
					B05DA	Izotonik eritmalar	Изотонтческие растворы			
					B05DB	Gipertonik eritmalar	Гипертонтческие растворы			
					B05XA	Elektrolit eritmalari	Растворы электролитов	B05XA01	Kaliy xloridi	Калия хлорид
					B05XA	Elektrolit eritmalari	Растворы электролитов	B05XA02	Natriy bikarbonati	Натрия бикарбонат
					B05XA	Elektrolit eritmalari	Растворы электролитов	B05XA03	Natriy xloridi	Натрия хлорид
					B05XA	Elektrolit eritmalari	Растворы электролитов	B05XA04	Ammoniy xloridi	Аммония хлорид
					B05XA	Elektrolit eritmalari	Растворы электролитов	B05XA05	Magniy sulfati	Магния сульфат
					B05XA	Elektrolit eritmalari	Растворы электролитов	B05XA06	Kaliy fosfat boshqa kaliy tuzlari bilan majmuada	Калия фосфат в комбинации с другими солями калия
					B05XA	Elektrolit eritmalari	Растворы электролитов	B05XA07	Kalsiy xloridi	Кальция хлорид
					B05XA	Elektrolit eritmalari	Растворы электролитов	B05XA08	Natriy atsetati	Натрия ацетат
					B05XA	Elektrolit eritmalari	Растворы электролитов	B05XA09	Natriy fosfati	Натрия фосфат
					B05XA	Elektrolit eritmalari	Растворы электролитов	B05XA10	Magniy fosfati	Магния фосфат
					B05XA	Elektrolit eritmalari	Растворы электролитов	B05XA11	Magniy xloridi	Магния хлорид
					B05XA	Elektrolit eritmalari	Растворы электролитов	B05XA12	Sink xloridi	Цинка хлорид
					B05XA	Elektrolit eritmalari	Растворы электролитов	B05XA13	Xlorid kislotasi	Хлористоводородная кислота
					B05XA	Elektrolit eritmalari	Растворы электролитов	B05XA14	Natriy glitserofosfati	Натрия глицерофосфат
					B05XA	Elektrolit eritmalari	Растворы электролитов	B05XA15	Kaliy laktati	Калия лактат
					B05XA	Elektrolit eritmalari	Растворы электролитов	B05XA16	Kardioplegik eritmalar	Кардиоплегические растворы
					B05XA	Elektrolit eritmalari	Растворы электролитов	B05XA30	Elektrolit eritmalar majmuada  	Электролитные растворы в комбинации
					B05XA	Elektrolit eritmalari	Растворы электролитов	B05XA31	Elektrolitlar boshqa vositalar bilan majmuada	Электролиты в комбинации со средствами
					B05XB	Aminokislotalar	Аминокислоты	B05XB01	Arginin gidroxlorid	Аргинина гидрохлорид
					B05XB	Aminokislotalar	Аминокислоты	B05XB02	Alanil glutamin	Аланил глутамин
					B05XB	Aminokislotalar	Аминокислоты	B05XB03	Lizin	Лизин
					B05XC	Vitaminlar	Вытамины			
					B05XX	Vena ichiga yuborish uchun eritmalarga boshqa qoʻshimchalar	Другие добавки к растворам для внутривенного введения	B05XX02	Trometamol	Трометамол
					B05ZA	Gemodializatlar (konsentratlar)	 Гемодиализаты (концентраты)	B05XX02		
					B05ZB	Gemofiltratsiya uchun eritmalar	Растворы для гемофильтрации	B05XX02		
					B06AA	Ferment preparatlari	Ферментные препараты	B06AA02	Fibrinolizin va dezoksiribonukleaza	Фибринолизин и дезоксирибонуклеаза
					B06AA	Ferment preparatlari	Ферментные препараты	B06AA03	Gialuronidaza	Гиалуронидаза
					B06AA	Ferment preparatlari	Ферментные препараты	B06AA04	Ximotripsin	Химотрипсин
					B06AA	Ferment preparatlari	Ферментные препараты	B06AA07	Tripsin	Трипсин
					B06AA	Ferment preparatlari	Ферментные препараты	B06AA10	Dezoksiribonukleaza	Дезоксирибонуклеаза
					B06AA	Ferment preparatlari	Ферментные препараты	B06AA55	Streptokinaza majmuasi	Стрептокиназа комбинация
					B06AB	Boshqa gematologik vositalar	Прочие гематологические средства	B06AB01	Gematin	Гематин
					B06AC	Nasliy angionevratik shishda qoʻllaniladigan preparatlar	Препараты применяемые при наследственном ангионевротическом отеке	B06AC01	C1-ingibitor (plazmadan ajratilgan)	C1-ингибитор (выделенный из плазмы)
					B06AC	Nasliy angionevratik shishda qoʻllaniladigan preparatlar	Препараты применяемые при наследственном ангионевротическом отеке	B06AC02	Ikatibant	Икатибант
					B06AC	Nasliy angionevratik shishda qoʻllaniladigan preparatlar	Препараты применяемые при наследственном ангионевротическом отеке	B06AC03	 Ekallantid	 Экаллантид
					B06AC	Nasliy angionevratik shishda qoʻllaniladigan preparatlar	Препараты применяемые при наследственном ангионевротическом отеке	B06AC04	Konestat alfa (C1-ingibitorga rekombinant)	Конестат альфа (рекомбинантный C1-ингибитор)
					B06AC	Nasliy angionevratik shishda qoʻllaniladigan preparatlar	Препараты применяемые при наследственном ангионевротическом отеке	B06AC05	Lanadelumab	Ланаделумаб
					B06AC	Nasliy angionevratik shishda qoʻllaniladigan preparatlar	Препараты применяемые при наследственном ангионевротическом отеке	B06AC06	Berotralstat	Беротралстат
					B06AC	Nasliy angionevratik shishda qoʻllaniladigan preparatlar	Препараты применяемые при наследственном ангионевротическом отеке	B06AC07	 Garadatsimab	 Гарадацимаб
					B06AC	Nasliy angionevratik shishda qoʻllaniladigan preparatlar	Препараты применяемые при наследственном ангионевротическом отеке	B06AC08	Sebetalstat	Себеталстат
					C01AA	Digitalis glikozidlari	Гликозиды наперстянки	C01AA01	Asetildigitoksin	Ацетилдигитоксин
					C01AA	Digitalis glikozidlari	Гликозиды наперстянки	C01AA02	Asetildigoksin	Ацетилдигоксин
					C01AA	Digitalis glikozidlari	Гликозиды наперстянки	C01AA03	Digitalis glikozidlar yigʻindisi	Дигиталиса гликозидов сумма
					C01AA	Digitalis glikozidlari	Гликозиды наперстянки	C01AA04	Digitoksin	Дигитоксин
					C01AA	Digitalis glikozidlari	Гликозиды наперстянки	C01AA05	Digoksin	Дигоксин
					C01AA	Digitalis glikozidlari	Гликозиды наперстянки	C01AA06	Lanatozid S	Ланатозид Ц
					C01AA	Digitalis glikozidlari	Гликозиды наперстянки	C01AA07	Deslanozid	Десланозид
					C01AA	Digitalis glikozidlari	Гликозиды наперстянки	C01AA08	Metildigoksin	Метилдигоксин
					C01AA	Digitalis glikozidlari	Гликозиды наперстянки	C01AA09	Gitoformat	Гитоформат
					C01AA	Digitalis glikozidlari	Гликозиды наперстянки	C01AA52	Asetildigoksin boshqa preparatlar bilan majmuada	Ацетилдигоксин в комбинациях с другими препаратами
					C01AB	Dengiz piyozi glikozidlari	Гликозиды морского лука	C01AB01	Prossillaridin	Просцилларидин
					C01AB	Dengiz piyozi glikozidlari	Гликозиды морского лука	C01AB51	Prossillaridin boshqa vositalar bilan majmuada	Просцилларидин в комбинации со средствами
					C01AC	Strofant glikozidlari	Гликозиды строфанта	C01AC01	G-strofantin	G-cтрофантин
					C01AC	Strofant glikozidlari	Гликозиды строфанта	C01AC03	Simarin	Цимарин
					C01AX	Boshqa yurak glikozidlari	Другие сердечные гликозиды	C01AX02	Peruvozid	Перувозид
