Code,Code,Uz,Ru,Eng,,,,Uz,Ru,Eng,,category 
emdoc-0010-0131,052,Balg'am tahlili,Анализ мокроты,Sputum analysis,,,,052 Balg'am tahlili,052 Анализ мокроты,052 Sputum analysis,,Бланк
emdoc-0010-0132,054,Spermogramma,Спермограмма,Semen analysis,,,,054 Spermogramma,054 Спермограмма,054 Semen analysis,,Бланк
emdoc-0010-0133,055,Mikrobiologik tekshiruv natijasi,Результаты микробиологических исследований,Microbiological test results,,,,055 Mikrobiologik tekshiruv natijasi,055 Результаты микробиологических исследований,055 Microbiological test results,,Бланк
emdoc-0010-0134,057,Sil kasalligiga mikrobiologik tekshiruvlarni qayd etish,Регистрация микробиологических исследований на туберкулёз,Register of TB microbiological tests,,,,057 Sil kasalligiga mikrobiologik tekshiruvlarni qayd etish,057 Регистрация микробиологических исследований на туберкулёз,057 Register of TB microbiological tests,,Журнал
emdoc-0010-0135,058-1,"Uy yoki yovvoyi hayvonlar tishlaganda, tirnalganda, so‘laklari tekkanda, qutirish kasalligiga shubha qilingani haqida tezkor xabar","Экстренное извещение при укусе, оцарапывании или попадании слюны домашних и диких животных при подозрении на бешенство","Urgent notification in case of bites, scratches, or saliva contact from domestic or wild animals with suspected rabies",,,,"058-1 Uy yoki yovvoyi hayvonlar tishlaganda, tirnalganda, so‘laklari tekkanda, qutirish kasalligiga shubha qilingani haqida tezkor xabar","058-1 Экстренное извещение при укусе, оцарапывании или попадании слюны домашних и диких животных при подозрении на бешенство","058-1 Urgent notification in case of bites, scratches, or saliva contact from domestic or wild animals with suspected rabies",,бланк
emdoc-0010-0136,058,"Yuqumli kasallik, oziq-ovqatdan o‘tkir, kasbiga ko‘ra ish joyida zaharlanish, emlanganda o‘zgacha reaksiyalar haqida tezkor xabar","Экстренное извещение об инфекционной болезни, пищевом отравлении, профессиональном отравлении и необычных реакциях на прививку","Urgent notification of infectious disease, food poisoning, occupational poisoning, and adverse vaccine reactions",,,,"058 Yuqumli kasallik, oziq-ovqatdan o‘tkir, kasbiga ko‘ra ish joyida zaharlanish, emlanganda o‘zgacha reaksiyalar haqida tezkor xabar","058 Экстренное извещение об инфекционной болезни, пищевом отравлении, профессиональном отравлении и необычных реакциях на прививку","058 Urgent notification of infectious disease, food poisoning, occupational poisoning, and adverse vaccine reactions",,Бланк
emdoc-0010-0137,059-1,Muolajalarni qayd qilish,Регистрация процедур,Register of medical procedures,,,,059-1 Muolajalarni qayd qilish,059-1 Регистрация процедур,059-1 Register of medical procedures,,Журнал
emdoc-0010-0138,059-2,"Ambulatoriya-poliklinika va shoshilinch (tez) tibbiy yordam postidan foydalangan byudjet dorivositasi, tibbiy buyumlarni hisobga olish","Учёт бюджетных лекарств и медизделий, использованных амбулаторией и скорой помощью",Accounting of budget medicines and medical supplies used by outpatient and emergency services,,,,"059-2 Ambulatoriya-poliklinika va shoshilinch (tez) tibbiy yordam postidan foydalangan byudjet dorivositasi, tibbiy buyumlarni hisobga olish","059-2 Учёт бюджетных лекарств и медизделий, использованных амбулаторией и скорой помощью",059-2 Accounting of budget medicines and medical supplies used by outpatient and emergency services,,Журнал
emdoc-0010-0139,060,Yuqumli kasalliklarni qayd etish,Регистрация инфекционных заболеваний,Register of infectious diseases,,,,060 Yuqumli kasalliklarni qayd etish,060 Регистрация инфекционных заболеваний,060 Register of infectious diseases,,Журнал
emdoc-0010-0140,060-1,"Uy yoki yovvoyi hayvonlar tishlaganda, tirnalganda, so‘laklari tekkanda, qutirish kasalligiga shubha qilingani qayd etish",Регистрация случаев укусов/ослюнения животными при подозрении на бешенство,Register of animal bite/saliva exposure cases suspected of rabies,,,,"060-1 Uy yoki yovvoyi hayvonlar tishlaganda, tirnalganda, so‘laklari tekkanda, qutirish kasalligiga shubha qilingani qayd etish",060-1 Регистрация случаев укусов/ослюнения животными при подозрении на бешенство,060-1 Register of animal bite/saliva exposure cases suspected of rabies,,Журнал
emdoc-0010-0141,062,Ichak mikroflorasini tekshirish,Исследование кишечной микрофлоры,Intestinal microbiota test,,,,062 Ichak mikroflorasini tekshirish,062 Исследование кишечной микрофлоры,062 Intestinal microbiota test,,Бланк
emdoc-0010-0142,065,Vasserman reaksiyasiga qon tahlili va boshqalar,Анализ крови на реакцию Вассермана и др.,Blood test for Wassermann reaction and others,,,,065 Vasserman reaksiyasiga qon tahlili va boshqalar,065 Анализ крови на реакцию Вассермана и др.,065 Blood test for Wassermann reaction and others,,Бланк
emdoc-0010-0143,066-1,FINAL statistik karta 066 (выписанных из стационара),Итоговая статистическая карта выписанных (форма 066),Final statistical card of discharged patients (Form 066),,,,066-1 FINAL statistik karta 066 (выписанных из стационара),066-1 Итоговая статистическая карта выписанных (форма 066),066-1 Final statistical card of discharged patients (Form 066),,Бланк
emdoc-0010-0144,067,Laboratoriya diagnostika bo‘limi Vitamin D,Лабораторный анализ витамина D,Vitamin D laboratory test,,,,067 Laboratoriya diagnostika bo‘limi Vitamin D,067 Лабораторный анализ витамина D,067 Vitamin D laboratory test,,Бланк
emdoc-0010-0145,068,Antistreptolizin-O (S-reaktiv oqsil),Антистрептолизин-O (СРБ),Antistreptolysin-O (CRP),,,,068 Antistreptolizin-O (S-reaktiv oqsil),068 Антистрептолизин-O (СРБ),068 Antistreptolysin-O (CRP),,Бланк
emdoc-0010-0146,070,"HBsAg-antigen (HDV), anti HCV","HBsAg (гепатит B), HDV, anti-HCV","HBsAg (Hep B), HDV, anti-HCV",,,,"070 HBsAg-antigen (HDV), anti HCV","070 HBsAg (гепатит B), HDV, anti-HCV","070 HBsAg (Hep B), HDV, anti-HCV",,Бланк
emdoc-0010-0147,071,Siydi tahlili,Общий анализ мочи,Urinalysis,,,,071 Siydi tahlili,071 Общий анализ мочи,071 Urinalysis,,Бланк
emdoc-0010-0148,073,Zimnitskiy bo‘yicha siydik tahlili,Анализ мочи по Зимницкому,Zimnitsky urine test,,,,073 Zimnitskiy bo‘yicha siydik tahlili,073 Анализ мочи по Зимницкому,073 Zimnitsky urine test,,Бланк
emdoc-0010-0149,074,Glyukozaga va keton tanachasiga siydik tahlili,Анализ мочи глюкозы и кетоновые тела,Glucose and ketone bodies urine test,,,,074 Glyukozaga va keton tanachasiga siydik tahlili,074 Анализ мочи глюкозы и кетоновые тела,074 Glucose and ketone bodies urine test,,Бланк
emdoc-0010-0150,075,Glyukozuriya profili,Профиль глюкозурии,Glucosuria profile,,,,075 Glyukozuriya profili,075 Профиль глюкозурии,075 Glucosuria profile,,Бланк
emdoc-0010-0151,076,Siydik ta’lili – amilaza faolligi,Анализ мочи — активность амилазы,Urine amylase activity,,,,076 Siydik ta’lili – amilaza faolligi,076 Анализ мочи — активность амилазы,076 Urine amylase activity,,Бланк
emdoc-0010-0152,077,Siydik shakliy elementlar sonini aniqlash,Определение форменных элементов мочи,Urine sediment cell count,,,,077 Siydik shakliy elementlar sonini aniqlash,077 Определение форменных элементов мочи,077 Urine sediment cell count,,Бланк
emdoc-0010-0153,078,Prostata bezi shirasi tahlili,Анализ секрета предстательной железы,Prostate secretion analysis,,,,078 Prostata bezi shirasi tahlili,078 Анализ секрета предстательной железы,078 Prostate secretion analysis,,Бланк
emdoc-0010-0154,079,TORCH infeksiya,TORCH-инфекции,TORCH infections,,,,079 TORCH infeksiya,079 TORCH-инфекции,079 TORCH infections,,Бланк
emdoc-0010-0155,081,Duodenal shirasi tahlili,Анализ дуоденального содержимого,Duodenal fluid analysis,,,,081 Duodenal shirasi tahlili,081 Анализ дуоденального содержимого,081 Duodenal fluid analysis,,Бланк
emdoc-0010-0156,082,Orqa miya suyuqligi tahlili,Анализ спинномозговой жидкости,Cerebrospinal fluid analysis,,,,082 Orqa miya suyuqligi tahlili,082 Анализ спинномозговой жидкости,082 Cerebrospinal fluid analysis,,Бланк
emdoc-0010-0157,084,Kimyo-terapevtik preparatlarga ajratilgan kulturalarning sezgirligini aniqlash va mikrobiologik tekshirish natijalari,Результаты микробиологического исследования и определения чувствительности выделенных культур к химиотерапевтическим препаратам,Results of microbiological examination and determination of susceptibility of isolated cultures to chemotherapeutic agents,,,,084 Kimyo-terapevtik preparatlarga ajratilgan kulturalarning sezgirligini aniqlash va mikrobiologik tekshirish natijalari,084 Результаты микробиологического исследования и определения чувствительности выделенных культур к химиотерапевтическим препаратам,084 Results of microbiological examination and determination of susceptibility of isolated cultures to chemotherapeutic agents,,Бланк
emdoc-0010-0158,085,Suyak ilik punktati tahlili,Анализ пункции костного мозга,Bone marrow puncture analysis,,,,085 Suyak ilik punktati tahlili,085 Анализ пункции костного мозга,085 Bone marrow puncture analysis,,Бланк
emdoc-0010-0159,087,Glyukoza borligini aniqlash bo‘yicha qon tahlili,Анализ крови на глюкозу,Blood glucose test,,,,087 Glyukoza borligini aniqlash bo‘yicha qon tahlili,087 Анализ крови на глюкозу,087 Blood glucose test,,Бланк
emdoc-0010-0160,088,"Vidal, Rayta, Xedlson va boshqa reaksiyalarga qon tahlili","Анализы по Видалю, Райту, Хедлсону и др.","Vidal, Wright, Hedlson tests",,,,"088 Vidal, Rayta, Xedlson va boshqa reaksiyalarga qon tahlili","088 Анализы по Видалю, Райту, Хедлсону и др.","088 Vidal, Wright, Hedlson tests",,Бланк
emdoc-0010-0161,092,Immunoglobulin ta’lili,Анализ иммуноглобулинов,Immunoglobulin test,,,,092 Immunoglobulin ta’lili,092 Анализ иммуноглобулинов,092 Immunoglobulin test,,Бланк
emdoc-0010-0162,093,"ALFA FETOPROTEIN, HEPATIT “V”","Альфа-фетопротеин, гепатит B","Alpha-fetoprotein, Hepatitis B",,,,"093 ALFA FETOPROTEIN, HEPATIT “V”","093 Альфа-фетопротеин, гепатит B","093 Alpha-fetoprotein, Hepatitis B",,Бланк
emdoc-0010-0163,094,KOMPLEMENTNING GEMOLITIK FAOLLIGI,Гемолитическая активность комплемента,Complement hemolytic activity,,,,094 KOMPLEMENTNING GEMOLITIK FAOLLIGI,094 Гемолитическая активность комплемента,094 Complement hemolytic activity,,Бланк
emdoc-0010-0164,095,Klinik-diagnostik laboratoriya,Клиническая диагностическая лаборатория,Clinical diagnostic laboratory,,,,095 Klinik-diagnostik laboratoriya,095 Клиническая диагностическая лаборатория,095 Clinical diagnostic laboratory,,Бланк
emdoc-0010-0165,098,TORCH IXLA tahlili,TORCH ИФА анализ,TORCH ELISA test,,,,098 TORCH IXLA tahlili,098 TORCH ИФА анализ,098 TORCH ELISA test,,Бланк
emdoc-0010-0166,099,TORCH infeksiyasi IXLA,TORCH-инфекция ИФА,TORCH infection ELISA,,,,099 TORCH infeksiyasi IXLA,099 TORCH-инфекция ИФА,099 TORCH infection ELISA,,Бланк
emdoc-0010-0167,100,"Shifoxona, ambulator, sirtdi, vafotidan keyingi","Госпитальный, амбулаторный, посмертный","Hospital, outpatient, postmortem",,,,"100 Shifoxona, ambulator, sirtdi, vafotidan keyingi","100 Госпитальный, амбулаторный, посмертный","100 Hospital, outpatient, postmortem",,Бланк
emdoc-0010-0168,101,SUDLANGANNING PSIXIATRIK dalolatnomasi,Судебно-психиатрическое освидетельствование,Forensic psychiatric evaluation,,,,101 SUDLANGANNING PSIXIATRIK dalolatnomasi,101 Судебно-психиатрическое освидетельствование,101 Forensic psychiatric evaluation,,Бланк
emdoc-0010-0169,102,Statsionar va ambulator sud-psixiatrik ekspertizalarini qayd etish,Регистрация стационарных и амбулаторных судебно-психиатрических экспертиз,Register of inpatient/outpatient forensic psychiatric exams,,,,102 Statsionar va ambulator sud-psixiatrik ekspertizalarini qayd etish,102 Регистрация стационарных и амбулаторных судебно-психиатрических экспертиз,102 Register of inpatient/outpatient forensic psychiatric exams,,Журнал
emdoc-0010-0170,104,Majburiy ravishda davolanayotgan shaxsning ruhiy,Психическое состояние лица на принудительном лечении,Mental status of person under compulsory treatment,,,,104 Majburiy ravishda davolanayotgan shaxsning ruhiy,104 Психическое состояние лица на принудительном лечении,104 Mental status of person under compulsory treatment,,Бланк
emdoc-0010-0171,105,Klinik-diagnostik laboratoriya IXLA,Клиническо-диагностическая лаборатория ИФА,Clinical diagnostic laboratory ELISA,,,,105 Klinik-diagnostik laboratoriya IXLA,105 Клиническо-диагностическая лаборатория ИФА,105 Clinical diagnostic laboratory ELISA,,Бланк
emdoc-0010-0172,107,Klinik-diagnostik laboratoriya IXLA,Клиническо-диагностическая лаборатория ИФА,Clinical diagnostic laboratory ELISA,,,,107 Klinik-diagnostik laboratoriya IXLA,107 Клиническо-диагностическая лаборатория ИФА,107 Clinical diagnostic laboratory ELISA,,Бланк
emdoc-0010-0173,108,Klinik-diagnostik laboratoriya IXLA,Клиническо-диагностическая лаборатория ИФА,Clinical diagnostic laboratory ELISA,,,,108 Klinik-diagnostik laboratoriya IXLA,108 Клиническо-диагностическая лаборатория ИФА,108 Clinical diagnostic laboratory ELISA,,Бланк
emdoc-0010-0174,109,Klinik-diagnostik laboratoriya IXLA,Клиническо-диагностическая лаборатория ИФА,Clinical diagnostic laboratory (ELISA),,,,109 Klinik-diagnostik laboratoriya IXLA,109 Клиническо-диагностическая лаборатория ИФА,109 Clinical diagnostic laboratory (ELISA),,Бланк
emdoc-0010-0175,110,Klinik-diagnostik laboratoriya IXLA,Клиническо-диагностическая лаборатория ИФА,Clinical diagnostic laboratory (ELISA),,,,110 Klinik-diagnostik laboratoriya IXLA,110 Клиническо-диагностическая лаборатория ИФА,110 Clinical diagnostic laboratory (ELISA),,Бланк
emdoc-0010-0176,113,"Ambulatoriya-poliklinika muassasasining almashish kartasi. Homilador ayol haqida ma’lumot (har bir homilador uchun to‘ldirilib, 30-haftada beriladi)",Обменная карта амбулаторно-поликлинического учреждения. Сведения о беременной женщине (заполняется на каждую беременную и выдается на 30-й неделе),Exchange card of the outpatient clinic. Information about the pregnant woman (completed for each pregnant woman and issued at 30 weeks),,,,"113 Ambulatoriya-poliklinika muassasasining almashish kartasi. Homilador ayol haqida ma’lumot (har bir homilador uchun to‘ldirilib, 30-haftada beriladi)",113 Обменная карта амбулаторно-поликлинического учреждения. Сведения о беременной женщине (заполняется на каждую беременную и выдается на 30-й неделе),113 Exchange card of the outpatient clinic. Information about the pregnant woman (completed for each pregnant woman and issued at 30 weeks),,Бланк
emdoc-0010-0177,114,Bola (homila) rivojlanishining tug‘ma nuqsoni yoki xromosom buzilishlar bilan tug‘ilganligi to‘g‘risida bildirishnoma,Извещение о рождении ребёнка (плода) с врождённым пороком развития или хромосомными нарушениями,Notification of birth of a child (fetus) with congenital malformation or chromosomal abnormalities,,,,114 Bola (homila) rivojlanishining tug‘ma nuqsoni yoki xromosom buzilishlar bilan tug‘ilganligi to‘g‘risida bildirishnoma,114 Извещение о рождении ребёнка (плода) с врождённым пороком развития или хромосомными нарушениями,114 Notification of birth of a child (fetus) with congenital malformation or chromosomal abnormalities,,Бланк
emdoc-0010-0178,115,Klinik-diagnostik laboratoriya IXLA,Клиническо-диагностическая лаборатория ИФА,Clinical diagnostic laboratory (ELISA),,,,115 Klinik-diagnostik laboratoriya IXLA,115 Клиническо-диагностическая лаборатория ИФА,115 Clinical diagnostic laboratory (ELISA),,Бланк
emdoc-0010-0179,116,Klinik-diagnostik laboratoriya. Lizosomal kasalliklarga selektiv skrining tahlil natijalari,Клинико-диагностическая лаборатория. Результаты селективного скринингового анализа на лизосомные заболевания,Clinical diagnostic laboratory. Results of selective screening analysis for lysosomal diseases,,,,116 Klinik-diagnostik laboratoriya. Lizosomal kasalliklarga selektiv skrining tahlil natijalari,116 Клинико-диагностическая лаборатория. Результаты селективного скринингового анализа на лизосомные заболевания,116 Clinical diagnostic laboratory. Results of selective screening analysis for lysosomal diseases,,Бланк
emdoc-0010-0180,117,Klinik-diagnostik laboratoriya PSR,Клиническо-диагностическая лаборатория ПЦР,Clinical diagnostic laboratory (PCR),,,,117 Klinik-diagnostik laboratoriya PSR,117 Клиническо-диагностическая лаборатория ПЦР,117 Clinical diagnostic laboratory (PCR),,Бланк
emdoc-0010-0181,118,Klinik-diagnostik laboratoriya PSR,Клиническо-диагностическая лаборатория ПЦР,Clinical diagnostic laboratory (PCR),,,,118 Klinik-diagnostik laboratoriya PSR,118 Клиническо-диагностическая лаборатория ПЦР,118 Clinical diagnostic laboratory (PCR),,Бланк
emdoc-0010-0182,119,Kimyo-terapevtik preparatlarga ajratilgan kulturalarning sezgirligini aniqlash va mikrobiologik tekshirish natijalari,Результаты микробиологического исследования и определения чувствительности выделенных культур к химиотерапевтическим препаратам,Results of microbiological examination and determination of susceptibility of isolated cultures to chemotherapeutic agents,,,,119 Kimyo-terapevtik preparatlarga ajratilgan kulturalarning sezgirligini aniqlash va mikrobiologik tekshirish natijalari,119 Результаты микробиологического исследования и определения чувствительности выделенных культур к химиотерапевтическим препаратам,119 Results of microbiological examination and determination of susceptibility of isolated cultures to chemotherapeutic agents,,Бланк
emdoc-0010-0183,120,Klinik-diagnostik laboratoriya miyelogramma,Клиническо-диагностическая лаборатория — миелограмма,Clinical diagnostic laboratory — myelogram,,,,120 Klinik-diagnostik laboratoriya miyelogramma,120 Клиническо-диагностическая лаборатория — миелограмма,120 Clinical diagnostic laboratory — myelogram,,Бланк
emdoc-0010-0184,121,Gelmintoz kasalliklariga qarshi degelmintizatsiya tadbirlarini qayd etish,Регистрация мероприятий по дегельминтизации,Registration of deworming activities,,,,121 Gelmintoz kasalliklariga qarshi degelmintizatsiya tadbirlarini qayd etish,121 Регистрация мероприятий по дегельминтизации,121 Registration of deworming activities,,Журнал
emdoc-0010-0185,122,Bezgak bo‘yicha xavfli joylardan kelganlarni ro‘yxatdan o‘tkazish va “D” kuzatuviga olish,Учёт прибывших из малярийно-опасных зон и постановка на «Д»-наблюдение,Registration of arrivals from malaria-risk areas and placement under “D” observation,,,,122 Bezgak bo‘yicha xavfli joylardan kelganlarni ro‘yxatdan o‘tkazish va “D” kuzatuviga olish,122 Учёт прибывших из малярийно-опасных зон и постановка на «Д»-наблюдение,122 Registration of arrivals from malaria-risk areas and placement under “D” observation,,Бланк
emdoc-0010-0186,123,Bezgak va qorin tifi kasalligiga qon tekshiruvlarini ro‘yxatga olish,Регистрация анализов крови на малярию и брюшной тиф,Register of blood tests for malaria and typhoid,,,,123 Bezgak va qorin tifi kasalligiga qon tekshiruvlarini ro‘yxatga olish,123 Регистрация анализов крови на малярию и брюшной тиф,123 Register of blood tests for malaria and typhoid,,Журнал
emdoc-0010-0187,124,Bezgak va qorin tifiga qarshi preparatlarni tekshiruvlarini ro‘yxatga olish,Регистрация исследований противомалярийных и противотифозных препаратов,Register of tests of anti-malaria and anti-typhoid drugs,,,,124 Bezgak va qorin tifiga qarshi preparatlarni tekshiruvlarini ro‘yxatga olish,124 Регистрация исследований противомалярийных и противотифозных препаратов,124 Register of tests of anti-malaria and anti-typhoid drugs,,Журнал
emdoc-0010-0188,125,Gelmintoz va ichak soddalilarga tekshiruvlarni ro‘yxatga olish,Регистрация исследований на гельминтозы и кишечные простейшие,Register of tests for helminths and intestinal protozoa,,,,125 Gelmintoz va ichak soddalilarga tekshiruvlarni ro‘yxatga olish,125 Регистрация исследований на гельминтозы и кишечные простейшие,125 Register of tests for helminths and intestinal protozoa,,Журнал
emdoc-0010-0189,126,Leyshmanioz kasalligiga tekshiruvlarni ro‘yxatga olish,Регистрация исследований на лейшманиоз,Register of tests for leishmaniasis,,,,126 Leyshmanioz kasalligiga tekshiruvlarni ro‘yxatga olish,126 Регистрация исследований на лейшманиоз,126 Register of tests for leishmaniasis,,Журнал
emdoc-0010-0190,127,DPM dagi tibbiyot xodimlari orasida sodir bo‘lgan avariya holatlarini qayd qilish,Регистрация аварийных случаев среди медработников ЛПУ,Registration of occupational incidents among healthcare workers,,,,127 DPM dagi tibbiyot xodimlari orasida sodir bo‘lgan avariya holatlarini qayd qilish,127 Регистрация аварийных случаев среди медработников ЛПУ,127 Registration of occupational incidents among healthcare workers,,Журнал
emdoc-0010-0191,128,SPID markaziga kasbga oid muloqotni qayd etish shakli,Форма регистрации профессионального контакта в СПИД-центре,Form for registering occupational exposure at the AIDS center,,,,128 SPID markaziga kasbga oid muloqotni qayd etish shakli,128 Форма регистрации профессионального контакта в СПИД-центре,128 Form for registering occupational exposure at the AIDS center,,Бланк
emdoc-0010-0192,129,APM va shifoxona hamda qon qo‘yish markazi laboratoriyalaridan Sanitariya-epidemiologiya osoyishtalik va jamoat salomatligi qo‘mitasiga xabar varaqasi,"Извещение (уведомительный лист) в Комитет санитарно-эпидемиологического благополучия и общественного здоровья от лабораторий АПМ, больниц и центров переливания крови","Notification sheet to the Committee of Sanitary-Epidemiological Welfare and Public Health from outpatient clinics, hospitals and blood transfusion center laboratories",,,,129 APM va shifoxona hamda qon qo‘yish markazi laboratoriyalaridan Sanitariya-epidemiologiya osoyishtalik va jamoat salomatligi qo‘mitasiga xabar varaqasi,"129 Извещение (уведомительный лист) в Комитет санитарно-эпидемиологического благополучия и общественного здоровья от лабораторий АПМ, больниц и центров переливания крови","129 Notification sheet to the Committee of Sanitary-Epidemiological Welfare and Public Health from outpatient clinics, hospitals and blood transfusion center laboratories",,Бланк
emdoc-0010-0193,130,Tahlil natijalari,Результаты анализов,Laboratory results,,,,130 Tahlil natijalari,130 Результаты анализов,130 Laboratory results,,Бланк
emdoc-0010-0194,131,Davolash standartlari hamda nozologiyasiga asosan o‘rinlar sonini hisobga olgan holda bir oylik dori vositalariga bo‘lgan o‘rtacha ehtiyoj,Средняя месячная потребность в лекарственных средствах с учётом коечного фонда по стандартам лечения и нозологиям,"Average monthly need for medicines based on treatment standards and nosology, considering bed capacity",,,,131 Davolash standartlari hamda nozologiyasiga asosan o‘rinlar sonini hisobga olgan holda bir oylik dori vositalariga bo‘lgan o‘rtacha ehtiyoj,131 Средняя месячная потребность в лекарственных средствах с учётом коечного фонда по стандартам лечения и нозологиям,"131 Average monthly need for medicines based on treatment standards and nosology, considering bed capacity",,Бланк
emdoc-0010-0195,132,Davolash-profilaktika muassasasi dorixonasining miqdoriy kirim hisoboti,Отчёт о количественном поступлении лекарственных средств в аптеку лечебно-профилактического учреждения,Report on quantitative receipt of medicines to the pharmacy of a medical facility,,,,132 Davolash-profilaktika muassasasi dorixonasining miqdoriy kirim hisoboti,132 Отчёт о количественном поступлении лекарственных средств в аптеку лечебно-профилактического учреждения,132 Report on quantitative receipt of medicines to the pharmacy of a medical facility,,Бланк
emdoc-0010-0196,133,Doimiy faoliyatdagi hay’atning qabul qilish dalolatnomasi,Приём постоянно действующей комиссии,Acceptance by the standing commission,,,,133 Doimiy faoliyatdagi hay’atning qabul qilish dalolatnomasi,133 Приём постоянно действующей комиссии,133 Acceptance by the standing commission,,Бланк
emdoc-0010-0197,134,Yuk xati (talabnoma),Накладная (требование),Delivery note (requisition),,,,134 Yuk xati (talabnoma),134 Накладная (требование),134 Delivery note (requisition),,Бланк
emdoc-0010-0198,135,Dorixonaning kunlik miqdoriy chiqim hisobi,Ежедневный количественный расход аптеки,Daily quantitative expenditure record of the pharmacy,,,,135 Dorixonaning kunlik miqdoriy chiqim hisobi,135 Ежедневный количественный расход аптеки,135 Daily quantitative expenditure record of the pharmacy,,Бланк
emdoc-0010-0199,136,Dorixonadan boʻlimlarga berilgan dorilar toʻgʻrisidagi chiqim hisoboti,"Отчёт о расходе лекарственных средств, выданных из аптеки в отделения",Expenditure report on medicines issued from the pharmacy to departments,,,,136 Dorixonadan boʻlimlarga berilgan dorilar toʻgʻrisidagi chiqim hisoboti,"136 Отчёт о расходе лекарственных средств, выданных из аптеки в отделения",136 Expenditure report on medicines issued from the pharmacy to departments,,Бланк
emdoc-0010-0200,137,Dorixonada dorilarni hisob varaqasi,Учётный лист лекарственных средств в аптеке,Inventory accounting sheet of medicines in the pharmacy,,,,137 Dorixonada dorilarni hisob varaqasi,137 Учётный лист лекарственных средств в аптеке,137 Inventory accounting sheet of medicines in the pharmacy,,Бланк
emdoc-0010-0201,138,Moliyalashtirish manbasi bo‘yicha aylamna vedomost,Оборотная ведомость по источникам финансирования,Turnover statement by funding source,,,,138 Moliyalashtirish manbasi bo‘yicha aylamna vedomost,138 Оборотная ведомость по источникам финансирования,138 Turnover statement by funding source,,Журнал
emdoc-0010-0202,139,Dorixonaning kunlik miqdoriy chiqim hujjati,Документ ежедневного количественного расхода аптеки,Daily quantitative expenditure document of the pharmacy,,,,139 Dorixonaning kunlik miqdoriy chiqim hujjati,139 Документ ежедневного количественного расхода аптеки,139 Daily quantitative expenditure document of the pharmacy,,Журнал
emdoc-0010-0203,140,Moliyalashtirish manbasi bo‘yicha aylamna bayonot №2,Оборотная ведомость по источникам финансирования №2,Turnover statement by funding source No. 2,,,,140 Moliyalashtirish manbasi bo‘yicha aylamna bayonot №2,140 Оборотная ведомость по источникам финансирования №2,140 Turnover statement by funding source No. 2,,Журнал
emdoc-0010-0204,141,Dori-vositalarning qoldig‘i,Остаток лекарственных средств,Balance of medicines,,,,141 Dori-vositalarning qoldig‘i,141 Остаток лекарственных средств,141 Balance of medicines,,Журнал
emdoc-0010-0205,059-3,Shoshilinch tez tibbiy yordam ilmiy markazining tez tibbiy yordam va sanitar aviatsiyasida dorilarni kirim va chiqim hisobi,Учёт прихода и расхода лекарственных средств в скорой медицинской помощи и санитарной авиации Научного центра экстренной медицинской помощи,Accounting of receipt and expenditure of medicines in the emergency medical service and air ambulance of the Scientific Center of Emergency Medical Care,,,,059-3 Shoshilinch tez tibbiy yordam ilmiy markazining tez tibbiy yordam va sanitar aviatsiyasida dorilarni kirim va chiqim hisobi,059-3 Учёт прихода и расхода лекарственных средств в скорой медицинской помощи и санитарной авиации Научного центра экстренной медицинской помощи,059-3 Accounting of receipt and expenditure of medicines in the emergency medical service and air ambulance of the Scientific Center of Emergency Medical Care,,Журнал
emdoc-0010-0206,142,Murojaatlarni qayd qilish,Регистрация обращений,Register of applications/requests,,,,142 Murojaatlarni qayd qilish,142 Регистрация обращений,142 Register of applications/requests,,Журнал
emdoc-0010-0207,143,Tez tibbiy yordam chaqiruvi kartasi,Карта вызова скорой медицинской помощи,Emergency call card,,,,143 Tez tibbiy yordam chaqiruvi kartasi,143 Карта вызова скорой медицинской помощи,143 Emergency call card,,Бланк
emdoc-0010-0208,144,Kuzatuv varaqasi,Лист наблюдения,Observation sheet,,,,144 Kuzatuv varaqasi,144 Лист наблюдения,144 Observation sheet,,Бланк
emdoc-0010-0209,145,Kundalik podstansiya ishi,Дневник работы подстанции,Daily log of the substation,,,,145 Kundalik podstansiya ishi,145 Дневник работы подстанции,145 Daily log of the substation,,Журнал
emdoc-0010-0210,146,Tez tibbiy yordam stansiyasi va sanitar aviatsiyasi bo‘limlarida favqulodda vaziyatlarni hisobga olish,Учёт чрезвычайных ситуаций на станции скорой помощи и в отделениях санитарной авиации,Register of emergencies at EMS stations and air ambulance units,,,,146 Tez tibbiy yordam stansiyasi va sanitar aviatsiyasi bo‘limlarida favqulodda vaziyatlarni hisobga olish,146 Учёт чрезвычайных ситуаций на станции скорой помощи и в отделениях санитарной авиации,146 Register of emergencies at EMS stations and air ambulance units,,Журнал
emdoc-0010-0211,147,TEZ TIBBIY YORDAM STANSIYASI,Станция скорой медицинской помощи,Emergency medical service station,,,,147 TEZ TIBBIY YORDAM STANSIYASI,147 Станция скорой медицинской помощи,147 Emergency medical service station,,Бланк
emdoc-0010-0212,148,Sanitar aviatsiyasi avtoulovlari faoliyatini ro‘yxatga olish jurnali,Журнал регистрации работы автомобилей санитарной авиации,Logbook of sanitary aviation vehicles,,,,148 Sanitar aviatsiyasi avtoulovlari faoliyatini ro‘yxatga olish jurnali,148 Журнал регистрации работы автомобилей санитарной авиации,148 Logbook of sanitary aviation vehicles,,Журнал
