Код,LOINC,Показатели UZ,Показатели RU,Long common name,Relationship,Единицы,Диапазон
lab-pan-172,15067-2,FSG,ФСГ,Follitropin [Units/volume] in Serum or Plasma,equivalent,,"Фолликул. фаза: 3,0–12,0 МЕ/лОвуляция: 8,0–22,0 МЕ/лЛютеин. фаза: 2,0–12,0 МЕ/лМенопауза: 35,0–151,0 МЕ/лМуж.: 1,0–14,0 МЕ/л"
lab-pan-173,2839-09-01 00:00:00,Progesteron,Прогестерон,Progesterone [Mass/volume] in Serum or Plasma,equivalent,,"Фолликул. фаза: 0,3–1,1 нг/млЛютеин. фаза: 3,0–30,0 нг/млМенопауза: 0,1–1,1 нг/млМуж.: ≤0,4 нг/мл"
lab-pan-174,2857-01-01 00:00:00,PSA,ПСА,Prostate specific Ag (PSA) [Mass/volume] in Serum or Plasma,equivalent,,"Муж.: до 4,0 нг/млЖен.: —"
lab-pan-H,,Spermogramma tahlili,Исследование спермограммы,Spermogram analysis,,,
lab-pan-175,10587-4,Hajm,Объём,Volume of Semen,equivalent,мл,
lab-pan-176,,Rangi,Цвет,Semen color [Type],equivalent,—,
lab-pan-177,10588-2,Hidi,Запах,Semen odor [Type],equivalent,—,
lab-pan-178,10590-8,Suyulish vaqti,Время разжижения,Semen liquefaction time,equivalent,мин,
lab-pan-179,10589-0,Kislotalilik (pH,Кислотность (pH),Semen pH,equivalent,—,
lab-pan-180,10591-6,Qovushqoqlik,Вязкость,Semen viscosity [Presence],equivalent,—,
lab-pan-181,9780-08-01 00:00:00,1 ml dagi spermatozoidlar soni,Количество сперматозоидов в 1 мл,Spermatozoa [#/volume] in Semen,equivalent,млн/мл,
lab-pan-182,72514-3,Umumiy hajmdagi spermatozoidlar soni,Количество сперматозоидов в общем объёме,Spermatozoa total count [#] in Ejaculate,equivalent,млн,
lab-pan-183,10610-4,Harakatchanlik - faol,Подвижность — активные,Spermatozoa progressive motility [#/volume] in Semen,equivalent,%,
lab-pan-184,10611-2,Harakatchanlik - sust,Подвижность — вялые,Spermatozoa non-progressive motility [#/volume] in Semen,equivalent,%,
lab-pan-185,10612-0,Harakatchanlik - harakatsiz,Подвижность — неподвижные,Spermatozoa immotile [#/volume] in Semen,equivalent,%,
lab-pan-186,10613-8,Tirik spermatozoidlar,Живые сперматозоиды,Spermatozoa Viable/Spermatozoa in Semen,source-is-narrower-than-target,%,
lab-pan-187,10613-8,Patologik shakldagi sermatozoidlar,Патологические формы сперматозоидов,Spermatozoa abnormal forms [#/volume] in Semen,equivalent,%,
lab-pan-188,12452-9,Spermatogenez epiteliysi,Эпителий сперматогенеза,Epithelial cells [Presence] in Semen by Light microscopy,equivalent,—,
lab-pan-189,10592-4,Leykositlar,Лейкоциты,Leukocytes [#/volume] in Semen,equivalent,млн/мл,
lab-pan-190,98027-6,Letsitin donachalari,Лецитиновые зёрна,Lecithin bodies [Presence] in Semen by Microscopy,equivalent,—,
lab-pan-191,10615-3,Agglyutinatsiya,Агглютинация,Spermatozoa agglutination [Presence] in Semen,equivalent,—,
lab-pan-192,10593-2,Fruktoza,Фруктоза,Fructose [Moles/volume] in Semen,equivalent,ммоль/л,
lab-pan-193,10594-0,Limon kislotasi,Лимонная кислота,Citric acid [Moles/volume] in Semen,equivalent,ммоль/л,
lab-pan-I,,Balg'am tahlili,Анализ мокроты,Sputum analysis,,,
lab-pan-194,38200-2,Miqdori,Количество,Volume of Sputum,,мл,
lab-pan-195,96723-2,Hidi,Запах,Odor of Lower respiratory specimen,,"качественно (характерный, гнилостный и т.д.)",
lab-pan-196,11526-1,Rangi,Цвет,Sputum color [Type],,"желтый, зеленый, кровянистый и т.п.",
lab-pan-197,11525-3,Xususiyati (ta'rifi),Характер (описание),Sputum gross description,,"слизистая, слизисто-гнойная, гнойная",
lab-pan-198,11527-9,Aralashmalar,Примеси,Psychiatry study,,"прожилки крови, гной и др.",
lab-pan-199,33455-7,Konsistensiyasi,Консистенция,Appearance of Sputum,,"жидкая, густая, вязкая",
lab-pan-200,12248-1,Epiteliy,Эпителий,Epithelial cells.renal [Presence] in Urine sediment by Light microscopy,,,
lab-pan-201,96724-0,Alveolyar makrofaglar,Альвеолярные макрофаги,Alveolar macrophages [#/volume] in Lower respiratory specimen by Manual count,,,
lab-pan-202,12225-9,Leykositlar,Лейкоциты,Leukocytes [#/area] in Sputum by Microscopy high power field,,,
lab-pan-203,12251-5,Eritrositalr,Эритроциты,Erythrocytes [Presence] in Sputum by Light microscopy,,,
lab-pan-204,96728-1,Tolalar,Волокна,Elastic fibers [#/volume] in Lower respiratory specimen by Manual count,related-to,,
lab-pan-205,96728-1,Elastik tolalar,Эластические волокна,Elastic fibers [Presence] in Sputum by Light microscopy,related-to,,
lab-pan-206,98028-4,Kalsiylangan (toshga aylangan zarrachalar),Обызвествлённые (окаменевшие частицы),Crystals [type] in Semen by Light microscopy,related-to,,
lab-pan-207,11545-1,Tuberkulyoz mikrobakteriyalari,Микобактерии туберкулёза,Mycobacterium tuberculosis [Presence] in Sputum by Microscopy (Ziehl–Neelsen stain),,,
lab-pan-208,30381-8,Eozinofillar,Эозинофилы,Eosinophils/Leukocytes in Sputum,,,
lab-pan-209,55304-0,Zamburug'lar,Грибы,Fungus [Presence] in Sputum by KOH preparation,,,
lab-pan-210,6460-0,Boshqa flora,Другая флора,Bacteria identified in Sputum by Culture,,,
lab-pan-211,96731-5,Kurshman spirallari,Спирали Куршмана,Curschmann's spirals and crystals [type] in Lower respiratory specimen by Light microscopy,,,
lab-pan-212,11102-1,Sharko-Leyden kristallari,Кристаллы Шарко–Лейдена,Charcot-leyden crystals [type] in Specimen by Trichrome stain,,,
lab-pan-213,15376-7,Atipik belgili hujayralar,Клетки с атипичными признаками,Spermatozoa.abnormal/Spermatozoa,,,
lab-pan-J,,Prostata bezi shirasi tahlili,Анализ секрета предстательной железы,Prostate gland juice analysis,,,
lab-pan-214,72278-5,Miqdori,Количество,Volume of Prostatic fluid,,мл,
lab-pan-215,96715-8,Rangi,Цвет,Color of Prostatic fluid,,"визуально (бесцветный, желтоватый и т.д.)",
lab-pan-216,9335-01-01 00:00:00,Shaffofligi,Прозрачность,Appearance of Body fluid,source-is-narrower-than-target,прозрачный / мутный,
lab-pan-217,9335-01-01 00:00:00,Konsistensiyasi,Консистенция,Appearance of Body fluid,source-is-narrower-than-target,жидкая / вязкая,
lab-pan-218,96718-2,Leykositlar,Лейкоциты,Leukocytes [#/area] in Prostatic fluid by Light microscopy,,определяются микроскопически,
lab-pan-219,72338-7,Eritrositlar,Эритроциты,Curschmann's spirals and crystals [type] in Lower respiratory specimen by Light microscopy,,—,
lab-pan-220,96720-8,Epiteliy,Эпителий,Epithelial cells [#/area] in Prostatic fluid by Light microscopy,,—,
lab-pan-221,96721-6,Makrofaglar,Макрофаги,Macrophages [#/area] in Prostatic fluid by Light microscopy,,—,
lab-pan-222,72339-5,Letsitin donachalari,Лецитиновые зёрна,Lecithin bodies [Presence] in Prostatic fluid by Light microscopy,,показатель секреторной функции простаты,
lab-pan-223,72341-1,Amiloid tanachalar,Амилоидные тельца,Amyloid bodies [Presence] in Prostatic fluid by Light microscopy,,встречаются при застоях секрета,
lab-pan-224,9780-08-01 00:00:00,Spermatozoidlar,Сперматозоиды,Spermatozoa [#/volume] in Semen,related-to,могут присутствовать в норме,
lab-pan-225,72277-7,Trixomonadalar,Трихомонады,Trichomonas vaginalis [Presence] in Prostatic fluid by Light microscopy,,—,
lab-pan-226,691-6,Gonokokklar,Гонококки,Neisseria gonorrhoeae [Presence] in Genital specimen by Organism specific culture,related-to,—,
lab-pan-227,72340-3,Boshqa flora,Другая флора,Bacteria [Presence] in Prostatic fluid by Light microscopy,,неспецифическая микрофлора,
lab-pan-228,,Atipik belgili hujayralar,Клетки с атипичными признаками,Epithelial cells atypical [Presence] in Prostatic fluid by Cytology,not-related-to,подозрение на неопластические изменения,
lab-pan-K,,TORCH-infeksiya tahlili,Анализ на TORCH-инфекцию,TORCH-infection analysis,,,"0,7 — отрицательноТитр 1:10"
lab-pan-229,45135-1,Xlamidiya (IgG antitanachalar),Хламидия (антитела IgG),Chlamydia trachomatis IgG Ab [Presence] in Serum by Immunoassay,,,До 25 МЕ — отрицательно
lab-pan-230,40677-7,Toksopazmoz (IgG antitanachalar),Токсоплазмоз (антитела IgG),Toxoplasma gondii IgG Ab [Presence] in Serum by Immunoassay,,,От 25 до 40 — слабо положительно
lab-pan-231,13949-3,Sitomegalovirus (IgG antitanachalar),Цитомегаловирус (антитела IgG),Cytomegalovirus IgG Ab [Presence] in Serum by Immunoassay,,,"До 0,25 — отрицательно"
lab-pan-232,48346-1,Oddiy gerpes virusi (IgG antitanachalar),Вирус простого герпеса (антитела IgG),HIV 1+O+2 Ab [Units/volume] in Serum or Plasma,,,"До 0,200 — отрицательно"
lab-pan-233,51988-4,Ureaplazma,Уреаплазма,Ureaplasma urealyticum DNA [Presence] in Specimen by NAA with probe detection,,,"До 0,25 — отрицательно"
lab-pan-L,,O'n ikki barmoqli ichak shirasi tahlili,Исследование дуоденального сока,Duodenal juice analysis,,,
lab-pan-234,,Oshqozon tarkibi hajmi,Объем желудочного содержимого,Gastric juice volume,,ml,
lab-pan-235,,Erkin HCl,Свободная HCl,Gastric free hydrochloric acid,,,
lab-pan-236,14583-9,Umumiy kislotalilik,Общая кислотность,Total gastric acidity,,,
lab-pan-237,,O'n ikki barmoq ichakka o'tish vaqti,Время перехода в дуоденум,Time to duodenal passage,,,
lab-pan-238,,Rentgen nazorati,Рентген контроль,X-ray control performed,,,
lab-pan-239,,A porsiya - ajralish vaqti,Порция A – время выделения,Duodenal fluid portion A excretion time,,мин,
lab-pan-240,,A porsiya - hajmi,Порция A – объем,Duodenal fluid portion A volume,,мл,
lab-pan-241,,A porsiya - rangi,Порция A – цвет,Duodenal fluid portion A color,,светло-желтый,
lab-pan-242,,A porsiya - shaffofligi,Порция A – прозрачность,Duodenal fluid clarity,,прозрачная,
lab-pan-243,,A porsiya - mikroskopiya,Порция A – микроскопия,Duodenal fluid microscopy,,без патологии,
lab-pan-244,,B porsiya - ajralish vaqti,Порция B – время выделения,Duodenal fluid portion B excretion time,,мин,
lab-pan-245,,B porsiya - hajmi,Порция B – объем,Duodenal fluid portion B volume,,мл,
lab-pan-246,,B porsiya - rangi,Порция B – цвет,Duodenal fluid portion B color,,темно-желтый,
lab-pan-247,,B porsiya - billurbin ko'rsatgichi,Порция B – билирубин индекс,Bilirubin index in duodenal fluid,,мг/дл,
lab-pan-248,,B porsiya - mikroskopiya,Порция B – микроскопия,Duodenal fluid microscopy,,без патологии,
lab-pan-249,,C porsiya - ajralish vaqti,Порция C – время выделения,Duodenal fluid portion C excretion time,,мин,
lab-pan-250,,C porsiya - hajmi,Порция C – объем,Duodenal fluid portion C volume,,мл,
lab-pan-251,,C porsiya rangi,Порция C – цвет,Duodenal fluid portion C color,,светло-желтый,
lab-pan-252,,C porsiya - shaffofligi,Порция C – прозрачность,Duodenal fluid clarity,,прозрачная,
lab-pan-253,96713-3,C porsiya - mikroskopiya,Порция C – микроскопия,Duodenal fluid microscopy,,без патологии,
lab-pan-254,1974-05-01 00:00:00,Billurbin,Билирубин,Bilirubin.total [Mass/volume] in Body fluid,,мг/дл,
lab-pan-255,14628-2,O't kislotalari,Желчные кислоты,Bile acid [Moles/volume] in Serum or Plasma,,ммол/л,
lab-pan-256,2093-03-01 00:00:00,Xolesterin,Холестерин,Cholesterol [Mass/volume] in Serum or Plasma,,ммол/л,
lab-pan-257,,Xolat-xolestering koeffisenti,Холато-холестериновый коэффициент,Cholate-cholesterol ratio,,ratio,
lab-pan-258,,"Flora A, B, C","Флора A, B, C",Bacterial flora in bile,,qualitative,
lab-pan-M,,Orqa miya suyuqligi (MS) tahlili,Исследование цереброспинальной жидкости (ликвора),Cerebrospinal fluid (CSF) analysis,,,
lab-pan-259,17607-3,Miqdori,Количество,Volume of Cerebral spinal fluid,,,прозрачный / желтоватый и т.п.
lab-pan-260,10335-8,Sentrefugadan keyingi rangi,Цвет после центрифугирования,Color of Cerebral spinal fluid,,,положительная / отрицательная
lab-pan-261,13532-7,Sentrefugagacha ksantoxromiya,Ксантохромия до центрифугирования,Xanthochromia [Presence] of Cerebral spinal fluid Qualitative,,,прозрачная / мутная
lab-pan-262,49736-2,Sentrefugadan keyingi shaffofligi,Прозрачность после центрифугирования,Clarity of Cerebral spinal fluid,,,г/л
lab-pan-263,2880-03-01 00:00:00,Oqsil,Белок,Protein [Mass/volume] in Cerebrospinal fluid,,,положительная / отрицательная
lab-pan-264,2879-05-01 00:00:00,Pandi reaksiyasi,Реакция Панди,Protein [Presence] in Cerebral spinal fluid,,,кл/мкл
lab-pan-265,10328-3,Limfositlar,Лимфоциты,Lymphocytes [#/volume] in Cerebrospinal fluid by Manual count,,,кл/мкл
lab-pan-266,34957-1,Eozinoffillar,Эозинофилы,Eosinophils [#/volume] in Cerebral spinal fluid by Manual count,,,кл/мкл
lab-pan-267,755-9,Neytrofillar,Нейтрофилы,Neutrophils [#/volume] in Cerebral spinal fluid by Manual count,,,—
lab-pan-268,32191-9,Makrofaglar,Макрофаги,Monocytes+Macrophages [Presence] in Cerebral spinal fluid by Light microscopy,,,атипичные клетки
lab-pan-269,30414-7,O'zgargan hujayralar,Изменённые клетки,Abnormal lymphocytes/Leukocytes in Cerebral spinal fluid,,,—
lab-pan-270,55792-6,Poliblastlar,Полибласты,Nucleated cells [#/volume] in Bone marrow,source-is-narrower-than-target,,—
lab-pan-271,40541-5,Plazmatik hujayralar,Плазматические клетки,Plasma cells/Leukocytes in Cerebral spinal fluid by Microscopy,,,—
lab-pan-272,26470-5,Araxnoidal endoteliy hujayralari,Клетки арахноидального эндотелия,Leukocytes other [#/volume] in Cerebral spinal fluid,,,—
lab-pan-273,99060-6,Ependima hujayralari,Клетки эпендимы,Cerebroventricular lining cells/Leukocytes in Cerebral spinal fluid,,,—
lab-pan-274,70034-4,Donador sharlar,Зернистые шары,Lipophages/Leukocytes in Cerebral spinal fluid by Manual count,related-to,,—
lab-pan-275,569-4,Zamburug'lar,Грибы,Fungus identified in Cerebral spinal fluid by Culture,related-to,,кл/мкл
lab-pan-276,792-2,Eritrositlar,Эритроциты,Erythrocytes [#/volume] in Cerebral spinal fluid by Manual count,,,
lab-pan-N,,Suyak ilik punktati tahlili,Анализ пунктата костного мозга,Bone marrow aspirate analysis,,,
lab-pan-277,55792-6,Miyelokariotsitlar soni,Количество миелокариоцитов,Nucleated cells [#/volume] in Bone marrow,,,
lab-pan-278,40688-4,Megakariotsitlar soni,Количество мегакариоцитов,Megakaryocytes [Presence] in Bone marrow by Light microscopy,,,
lab-pan-279,11150-0,Yetilmagan blastlar,Незрелые бласты,Blasts/cells in Bone marrow,,,
lab-pan-280,11113-8,Miyeloblastlar,Миелобласты,Myeloblasts/cells in Bone marrow by Manual count,,,
lab-pan-281,11120-3,Promiyelotsitlar,Промиелоциты,Promyelocytes/cells in Bone marrow by Manual count,,,
lab-pan-282,11114-6,Miyelotsitlar,Миелоциты,Myelocytes/cells in Bone marrow by Manual count,,,
lab-pan-283,11111-2,Metamiyelotsitlar,Метамиелоциты,Metamyelocytes/cells in Bone marrow by Manual count,,,
lab-pan-284,11103-9,Tayoqchayadrolilar,Палочкоядерные нейтрофилы,Band form neutrophils/cells in Bone marrow by Manual count,,,
lab-pan-285,56960-8,Segmentyadrolilar,Сегментоядерные нейтрофилы,Segmented neutrophils/Leukocytes in Bone marrow by Manual count,,,
lab-pan-286,,Miyelotsitlar,Миелоциты,,,,
lab-pan-287,,Metamiyelotsitlar,Метамиелоциты,,,,
lab-pan-288,,Tayoqchayadrolilar,Палочкоядерные нейтрофилы,,,,
lab-pan-289,,Segmentyadrolilar,Сегментоядерные нейтрофилы,,,,
lab-pan-290,,Miyelotsitlar,Миелоциты,,,,
lab-pan-291,,Metamiyelotsitlar,Метамиелоциты,,,,
lab-pan-292,,Tayoqchayadrolilar,Палочкоядерные нейтрофилы,,,,
lab-pan-293,,Segmentyadrolilar,Сегментоядерные нейтрофилы,,,,
lab-pan-294,50724-4,Limfoblastlar,Лимфобласты,Lymphoblasts/Leukocytes in Bone marrow by Manual count,,,
lab-pan-295,11121-1,Prolimfotsitlar,Пролимфоциты,Prolymphocytes/cells in Bone marrow by Manual count,,,
lab-pan-296,11108-8,Limfotsitlar,Лимфоциты,Lymphocytes/cells in Bone marrow by Manual count,,,
lab-pan-297,50725-1,Monoblastlar,Монобласты,Monoblasts/Leukocytes in Bone marrow by Manual count,,,
lab-pan-298,11122-9,Promonotsitlar,Промоноциты,Promonocytes/cells in Bone marrow by Manual count,,,
lab-pan-299,11112-0,Monotsitlar,Моноциты,Monocytes/cells in Bone marrow by Manual count,,,
lab-pan-300,11138-5,Leyko-eritroblastik nisbat,Лейко-эритробластическое соотношение,Myeloid cells/Erythroid cells [# Ratio] in Bone marrow,,,
lab-pan-301,11128-6,Neytrofillar yetilish indeksi,Индекс созревания нейтрофилов,Segmented neutrophils/cells in Bone marrow,,,
lab-pan-302,11124-5,Proeritroblastlar,Проэритробласты,Pronormoblasts/cells in Bone marrow by Manual count,,,
lab-pan-303,11105-4,Bazofil eritroblastlar,Базофильные эритробласты,Basophils/cells in Bone marrow by Manual count,,,
lab-pan-304,11119-5,Polixromafil eritroblastlar,Полихроматофильные эритробласты,Normoblasts Polychromatophilic/cells in Bone marrow by Manual count,,,
lab-pan-305,98127-4,Oksifil eritroblastlar,Оксифильные эритробласты,Normoblasts oxyphilic+polychromatophilic/Normoblasts.total in Bone marrow by Manual count,,,
lab-pan-306,11119-5,Polixromatofil normoblastlar,Полихроматофильные нормобласты,Normoblasts Polychromatophilic/cells in Bone marrow by Manual count,,,
lab-pan-307,11116-1,Oksifil normoblastlar,Оксифильные нормобласты,Normoblasts Orthochromic/cells in Bone marrow by Manual count,,,
lab-pan-308,52127-8,Promegaloblastlar,Промегалобласты,Megaloblasts/cells in Bone marrow by Manual count,,,
lab-pan-309,11104-7,Bazofil megaloblastlar,Базофильные мегалобласты,Normoblasts Basophilic/cells in Bone marrow by Manual count,source-is-narrower-than-target,,
lab-pan-310,11119-5,Polixromatofil megaloblastlar,Полихроматофильные мегалобласты,Normoblasts Polychromatophilic/cells in Bone marrow by Manual count,,,
lab-pan-311,11116-1,Oksifil megaloblastlar,Оксифильные мегалобласты,Normoblasts Orthochromic/cells in Bone marrow by Manual count,source-is-narrower-than-target,,
lab-pan-312,98018-5,Megakarioblastlar,Мегакариобласты,Megakaryoblasts/cells in Bone marrow by Manual count,,,
lab-pan-313,98019-3,Promegakariotsitlar,Промегакариоциты,Promegakaryocytes/cells in Bone marrow by Manual count,,,
lab-pan-314,11110-4,Megokariotsitlar,Мегакариоциты,Megakaryocytes/cells in Bone marrow by Manual count,,,
lab-pan-315,50726-9,Retikulyar hujayralar,Ретикулярные клетки,Reticulum cell/cells in Bone marrow by Gomori stain,,,
lab-pan-316,11117-9,Plazmoblastlar,Плазмобласты,Plasma cells immature/cells in Bone marrow by Manual count,,,
lab-pan-317,11117-9,Proplazmotsitlar,Проплазмоциты,Plasma cells immature/cells in Bone marrow by Manual count,,,
lab-pan-318,11118-7,Plazmotik xujayralar,Плазматические клетки,Plasma cells/cells in Bone marrow by Manual count,,,
lab-pan-319,11114-6,Xujayralar mitozi granulopoez,Митоз клеток гранулопоэза,Myelocytes/cells in Bone marrow by Manual count,source-is-narrower-than-target,,
lab-pan-320,74231-2,Eritropoez hujayra mitozi,Митоз клеток эритропоэза,Erythropoiesis assessment in Bone marrow Narrative,,,
lab-pan-321,47286-0,Eritroblast va normoblastlar sitoplazmasining yetilish indeksi,Индекс зрелости цитоплазмы эритробластов и нормобластов,Differential panel - Bone marrow,source-is-narrower-than-target,,
lab-pan-O,,"Antistreptolizin-0, S- reaktiv oqsili varevmatoid omiliga qonni tekshirish tahlili","Анализ крови на антистрептолизин-О, С-реактивный белок и ревматоидный фактор","Blood analysis for antistreptolysin-0, S-reactive protein and rheumatoid factor",,,
lab-pan-322,11039-5,S-reyeaktiv oqsil,С-реактивный белок (CRP),C reactive protein [Presence] in Serum or Plasma,,,
lab-pan-323,33910-1,Revmotoid omili,Ревматоидный фактор (RF),Rheumatoid factor [Presence] in Serum,,,
lab-pan-324,9788-01-01 00:00:00,Antistriptolizin-O,Антистрептолизин-O (ASO),Streptolysin O Ab [Presence] in Serum,,,
lab-pan-P,47286-0,Miyelogramma,Миелограмма дифференциальному исследованию костного мозга,Clinical - diagnostic laboratory myelogram,,,
lab-pan-325,55792-6,Suyak ko'migi hujayralari,Клетки костного мозга,Bone marrow cells,,,"0,3-2,8"
lab-pan-326,11150-0,Blastlar,Бласты,Blasts,,,"52,7-68,9"
lab-pan-327,11115-3,Barcha neytrofil elementlar,Все нейтрофильные элементы,All neutrophil elements,,,"1,0-4,1"
lab-pan-328,11120-3,Promiyelositlar,Промиелоциты,Promyelocytes,,,"6,9-12,2"
lab-pan-329,11114-6,Miyelositlar,Миелоциты,Myelocytes,,,"8,0-14,9"
lab-pan-330,11111-2,Metamiyelositlar,Метамиелоциты,Metamyelocytes,,,"12,8-23,7"
lab-pan-331,11103-9,Tayoqcha yadrolilar,Палочкоядерные нейтрофилы,Band neutrophils,,,"13,1-24,1"
lab-pan-332,11128-6,Segment yadrolilar,Сегментоядерные нейтрофилы,Segmented neutrophils,,,"0,5-5,8"
lab-pan-333,11106-2,Eozinofillar,Эозинофилы,Eosinophils,,,
lab-pan-334,50374-8,- Miyelosit eozinofillar,Эозинофильные миелоциты,- Eosinophilic myelocytes,,,
lab-pan-335,74429-2,- Metamiyelosit eozinofillar,Эозинофильные метамиелоциты,- Eosinophilic metamyelocytes,,,
lab-pan-336,50373-0,- Tayoqcha yadroli eozinofillar,Палочкоядерные эозинофилы,- Band eosinophils,,,
lab-pan-337,11106-2,- Segment yadroli eozinofillar,Сегментоядерные эозинофилы,- Segmented eosinophils,,,"0-0,5"
lab-pan-338,11105-4,Bazofillar,Базофилы,Basophils,,,
lab-pan-339,50724-4,Limfoblastlar,Лимфобласты,Lymphoblasts,,,
lab-pan-340,11121-1,Prolimfositlar,Пролимфоциты,Prolymphocytes,,,"4,3-13,7"
lab-pan-341,11108-8,Limfositlar,Лимфоциты,Lymphocytes,,,
lab-pan-342,50725-1,Monoblastlar,Монобласты,Monoblasts,,,
lab-pan-343,11122-9,Promonositlar,Промоноциты,Promonocytes,,,"0,7-3,1"
lab-pan-344,11112-0,Monositlar,Моноциты,Monocytes,,,
lab-pan-345,11117-9,Plazmoblastlar,Плазмобласты,Plasmablasts,,,
lab-pan-346,11117-9,Proplazmositlar,Проплазмоциты,Proplasmacytes,,,"0,1-1,8"
lab-pan-347,11118-7,Plazmositlar,Плазмоциты,Plasma cells,,,"0,1-1,6"
lab-pan-348,50726-9,Retikulyar hujayralar,Ретикулярные клетки,Reticular cells,,,"14,5-26,5"
lab-pan-349,40689-2,Barcha eritron elementlar,Все элементы эритрона,All erythroid elements,,,"0,2-1,1"
lab-pan-350,42215-4,Eritroblastlar,Эритробласты,Erythroblasts,,,"0,2-1,2"
lab-pan-351,11124-5,Pronormositlar,Пронормоциты,Pronormocytes,,,"1,4-4,6"
lab-pan-352,11104-7,Bazofil normositlar,Базофильные нормоциты,Basophilic normocytes,,,"8,9-16,9"
lab-pan-353,11119-5,Polixromotofil normositlar,Полихроматофильные нормоциты,Polychromatophilic normocytes,,,"0,8-5,6"
lab-pan-354,11116-1,Oksifil normositlar,Оксифильные нормоциты,Oxyphilic normocytes,,,
lab-pan-355,74234-6,Mitoz shakllari,Фигуры митоза,Mitotic figures,,,
lab-pan-356,,Indekslar,Индексы,Indices,,,"2,1-4,5:1"
lab-pan-357,11138-5,Leyko-eritroblastik nisbat,Лейко-эритробластическое соотношение,Leukoerythroblastic ratio,,,"0,7-0,9"
lab-pan-358,11115-3,Eritrokariositlar yetilish indeksi,Индекс созревания эритрокариоцитов,Erythrokaryocyte maturation index,,,"0,5-0,9"
lab-pan-359,40689-2,Neytrofillar yetilish indeksi,Индекс созревания нейтрофилов,Neutrophil maturation index,,,
lab-pan-Q,,Qon zardobidagi lipoproteinlarni tekshirish,Исследование сывороточных липопротеинов,Serum lipoprotein analysis,,,
lab-pan-360,2093-03-01 00:00:00,Umumiy xolesterin,Общий холестерин,Cholesterol [Mass/volume] in Serum or Plasma,,ммол/л,"2,5-5,20"
lab-pan-361,2571-08-01 00:00:00,Triglitserid,Триглицериды,Triglyceride [Mass/volume] in Serum or Plasma,,ммол/л,"Er: 0,45-1,8 Ayol: 0,39-1,5"
lab-pan-362,13457-7,XS-LPVP,Холестерин ЛПВП (липопротеины высокой плотности),Cholesterol in LDL [Mass/volume] in Serum or Plasma by calculation,,ммол/л,"Er: 1,0-2,10Ayol: 0,90-1,80"
lab-pan-363,2085-09-01 00:00:00,XS-LPNP,Холестерин ЛПНП (липопротеины низкой плотности),Cholesterol in HDL [Mass/volume] in Serum or Plasma,,ммол/л,"<3,9"
lab-pan-364,13458-5,XS-LPONP,Холестерин ЛПОНП (липопротеины очень низкой плотности),Cholesterol in VLDL [Mass/volume] in Serum or Plasma by calculation,,yed,"0,35-0,55"
lab-pan-365,9830-01-01 00:00:00,Xolesterin koeffisenti,Коэффициент атерогенности (коэффициент холестерина),Cholesterol.total/Cholesterol in HDL [Mass Ratio] in Serum or Plasma,,ммол/л,Er: <4.0 Ayol: <3.4
lab-pan-R,,SIydik shakliy elementlar soni tahlili,Исследование подсчета образцов мочи,Urine elemental count analysis,,,
lab-pan-366,20408-1,Leykositlar,Лейкоциты в моче (тест-полоска),Leukocytes [#/volume] in Urine by Test strip,,,
lab-pan-367,20409-9,Eritrositlar,Эритроциты в моче (тест-полоска),Erythrocytes [#/volume] in Urine by Test strip,,,
lab-pan-368,105894-0,Silindrlar,Цилиндры в осадке мочи,Casts [#/area] in Urine sediment,,,
lab-pan-S,,TORCH infeksiyasi IXLA tahlili,Анализ на TORCH-инфекции методом ИХЛА,TORCH infection IXLA analysis,,,
lab-pan-369,13949-3,Cytomegalovirus Ig G,Цитомегаловирус IgG,Cytomegalovirus IgG Ab [Presence] in Serum or Plasma by Immunoassay,,AU/ml,0-2
lab-pan-370,27948-9,Gerpes simplex virus1/2 Ig G,Вирус простого герпеса 1/2 типа IgG,Herpes simplex virus 1+2 IgG Ab [Units/volume] in Serum by Immunoassay,,AU/ml,0-2
lab-pan-371,22580-5,Toxoplasma gondil Ig G,Toxoplasma gondii IgG,Toxoplasma gondii IgG Ab [Presence] in Serum,,IU/ml,0-2
lab-pan-372,44981-9,Chlamedia pneumonia Ig G,Chlamydia pneumoniae IgG,Chlamydophila pneumoniae IgG Ab [Presence] in Serum,,AU/ml,< 1 -manfiy ≥1-musbat
lab-pan-373,17301-3,Mycoplasma hominis Ig G,Mycoplasma hominis IgG,Mycoplasma hominis Ab [Presence] in Serum,,,0.345
lab-pan-374,17852-5,Ureaplasma urealyticum Ig G,Ureaplasma urealyticum IgG,Ureaplasma urealyticum [Presence] in Specimen by Organism specific culture,,,0.3
lab-pan-T,,Neonatal retest skrining tahlili,Неонатальный ретест-скрининг анализ,Neonatal retest screening analysis,,,
lab-pan-375,48633-2,Immunoreaktiv tripsin (IRT),Иммунореактивный трипсин (IRT),Trypsinogen I Free [Mass/volume] in DBS,,ng/ml,<40
lab-pan-376,29573-3,Fenilalanin (PA),Фенилаланин (PA),Phenylalanine [Moles/volume] in DBS,,mg/dl,<2
lab-pan-377,3016-03-01 00:00:00,Tireotrop gormon (TSH),Тиреотропный гормон (TSH),Thyrotropin [Units/volume] in Serum or Plasma,,mkME/ml,<5
